#{"t_start": 1778804724.117005, "env_id": "Atom-v1"}
r,l,t
17.592978,138,0.326698
-663.95587,1000,1.470011
86.935521,128,1.576309
98.486614,139,1.687488
3.865998,173,1.825105
-659.861928,1000,2.988657
43.656087,118,3.083846
-36.954665,199,3.248925
-648.284727,1000,4.408314
56.416733,112,4.500546
47.106822,108,4.848568
16.462378,206,5.017729
-8.675679,142,5.133509
-399.214625,663,8.308253
-322.06799,571,8.794802
-649.320187,1000,9.951972
9.577404,147,10.070737
-290.72853,562,10.855169
73.028232,141,10.967435
31.496975,144,11.084072
38.817237,115,11.176644
59.608572,129,11.280418
19.465162,128,11.38255
-5.817916,181,11.868453
85.952068,141,11.981968
55.573501,121,12.078222
62.163662,120,12.173883
-498.725211,798,13.206392
-14.067791,204,13.371927
39.337135,208,13.543077
-30.464368,210,15.766456
-16.138201,89,15.839809
69.666704,202,16.278503
-714.686831,1000,17.403303
-7.177621,100,17.486859
25.686446,165,17.618748
-116.496202,345,17.90413
20.106207,83,17.972489
103.122119,154,18.096201
-16.74575,150,18.522035
44.055735,107,18.606311
44.897823,130,18.709033
-677.821842,1000,19.879284
-7.335557,114,19.971638
86.106126,159,20.095964
76.221466,143,20.209654
69.909622,182,20.355819
-22.600625,114,20.446998
73.743549,174,20.895925
-200.691252,458,21.282258
39.793078,164,21.885752
31.595333,196,22.044629
-636.609834,1000,23.148318
91.119934,130,23.516467
49.695412,120,23.612447
59.100858,111,23.70093
-7.226994,106,23.78646
-15.47492,151,23.907754
-25.028857,159,24.033986
3.980725,126,24.134024
-34.437568,187,24.283504
-95.455595,324,24.819347
62.459528,131,24.924557
-297.661016,567,25.402563
5.770664,165,25.794539
-16.43521,235,25.986486
-207.679637,430,26.343359
-5.574151,121,26.440874
54.314566,130,26.804193
65.6408,140,26.916171
30.844948,186,27.068018
70.878891,126,27.169646
-489.909802,793,28.539975
72.256607,132,28.64625
7.09261,207,28.815022
2.249775,188,28.971825
-19.861063,163,29.103448
-665.997807,1000,30.247945
-647.744927,1000,31.438335
3.21788,103,31.524534
41.637037,150,31.99191
-638.343803,1000,33.115176
31.509166,115,33.209401
-664.526097,1000,34.705771
-680.984414,1000,35.83583
87.804991,171,35.97637
24.756876,136,36.086677
45.049563,127,36.189644
-18.390229,205,36.356804
75.83754,119,36.453663
-682.192363,1000,37.578737
28.895916,112,37.672091
109.405689,154,38.056232
-18.713159,212,38.230884
-686.147905,1000,39.873075
-46.040632,327,40.148515
-683.410775,1000,41.353673
65.483288,118,41.45249
-27.508107,232,41.640482
-38.338959,227,42.133167
-611.919957,1000,43.287034
56.713176,106,43.373409
106.580849,162,43.503849
71.687621,119,43.598614
-8.090793,188,43.75245
68.847391,117,43.845745
63.384769,128,43.948209
40.006635,171,44.452115
-28.622444,227,44.64198
-696.792242,1000,46.1915
-681.065445,1000,47.354218
-699.081168,1000,48.519311
51.334242,113,48.612397
-86.688396,320,48.875975
-638.606695,1000,50.023878
0.413164,137,50.136673
-646.683001,1000,51.304236
-9.744362,192,51.462083
-400.407313,669,52.722515
-644.565017,1000,53.871649
63.002114,124,53.972008
53.717733,113,54.061898
105.262849,153,54.184339
97.566643,137,54.595141
5.513253,219,54.773313
-80.943719,295,55.018358
-32.335732,209,55.190596
67.749737,115,55.283701
-665.01981,1000,56.446195
38.884106,134,56.82855
-646.504719,1000,58.353398
48.804554,123,58.452723
48.559934,121,58.552083
33.266812,125,58.65263
48.092189,118,58.746487
61.62166,100,58.828883
2.344258,134,58.937137
88.025963,126,59.036928
88.866621,128,59.139568
-588.422539,900,60.208837
78.737024,142,60.330414
-54.007533,253,60.848894
51.188025,112,60.939039
28.199192,118,61.032901
-606.646636,1000,62.297233
80.559108,140,62.412152
-425.990389,694,63.381256
-664.933747,1000,68.006541
-454.582877,688,68.601459
-31.212477,213,69.077371
-26.855382,201,69.245371
75.993339,144,69.362999
-35.45238,307,69.618499
-79.464506,343,70.202755
-675.973516,1000,71.356216
-12.988874,228,71.545074
75.074125,171,71.682112
-671.940944,1000,72.834089
18.353532,100,72.918899
61.556966,103,73.002143
38.22886,116,75.442064
68.756085,195,75.60463
31.948412,118,75.997313
-8.059706,205,76.167677
77.587682,137,76.278572
-694.558068,1000,77.482688
-692.102494,1000,78.68005
-536.089456,826,79.71733
45.895091,121,79.813458
-657.512393,1000,80.975797
54.592866,102,81.059624
-491.555008,804,82.491252
-38.869769,223,82.679413
4.798683,221,82.863285
65.229723,119,82.960907
-29.793236,236,83.155971
-40.878154,226,83.602525
78.108227,113,83.692538
-695.281446,1000,84.827748
39.551562,195,84.989321
-656.745033,1000,86.115173
-679.566768,1000,87.276994
-123.558926,311,87.920353
65.779944,110,88.01102
-672.309777,1000,89.12467
48.498152,127,89.228526
-393.501933,675,90.055877
-509.515047,796,90.991531
46.993635,128,91.095486
-24.937385,232,91.282922
-199.914077,400,91.874655
-706.579679,1000,92.731753
-666.231561,1000,94.252591
88.833002,142,94.666953
51.689906,210,94.837168
98.392755,148,94.958672
45.317799,135,95.065287
-9.254357,114,95.155487
28.260128,126,95.256227
95.781058,138,95.36577
49.989858,101,95.706891
-346.571875,667,96.27078
110.552831,152,96.390833
-40.64662,196,96.81415
30.601927,108,96.901939
39.979409,169,97.038373
32.617146,133,97.148769
67.997686,117,97.24199
89.957561,126,97.343483
52.47964,117,97.436713
48.641807,123,97.535343
46.808875,116,97.888448
49.578453,123,97.989988
53.891984,123,98.088487
53.998521,113,98.181666
54.081693,110,98.270484
84.945358,130,98.375248
40.536456,126,98.479656
57.605826,122,98.578224
-628.218142,928,99.975127
28.641627,118,100.070331
28.18929,131,100.43685
58.955882,103,100.519015
-43.08252,224,100.705965
-556.178419,916,101.753259
40.934024,111,101.842929
44.186998,113,101.934633
94.393654,132,102.040777
53.078841,99,102.121271
88.85793,156,102.244714
93.518637,135,102.354364
98.493905,136,102.734633
83.320879,159,102.861598
52.057211,105,102.946526
43.674969,122,103.044882
35.421344,130,103.147847
39.057354,132,103.252913
35.360961,122,103.351066
73.135068,115,103.443002
7.51019,131,103.805848
-666.352252,1000,104.922994
-285.047307,571,105.741062
-706.559736,1000,106.852673
-416.638309,681,107.695657
19.058467,139,107.806669
36.653278,138,107.917466
90.486581,129,108.020368
-16.035853,119,108.115082
-131.460337,323,108.645083
-17.386537,229,108.833312
-36.026989,194,108.99108
54.45103,132,109.095098
-650.75387,1000,110.209872
69.043141,104,110.29487
101.610882,149,110.413646
-648.34941,1000,111.801965
51.362347,121,111.899812
45.3667,103,112.280252
30.191891,115,112.372511
56.405999,75,112.43246
59.786334,195,112.590367
-389.588867,682,113.452945
51.457732,111,113.542969
-287.858499,565,114.021271
37.110144,111,114.109073
-5.113775,165,114.500289
24.77157,113,114.59063
44.770847,109,114.679446
66.05409,124,114.778443
24.097828,126,114.879837
50.511533,116,114.973954
-654.195372,1000,116.093382
64.904426,104,116.181026
52.721572,97,116.259541
47.695415,188,116.678404
37.256507,131,117.042588
39.115614,108,117.129155
-5.154059,191,117.285181
-659.087968,1000,118.41091
4.173634,140,118.526828
46.723589,98,118.604882
58.853874,112,118.695672
46.273784,114,118.786278
87.184308,135,118.894492
-255.586677,481,119.575901
37.052921,115,119.667255
63.237667,130,119.770347
51.198714,111,119.858824
-151.274895,342,120.407059
56.274878,104,120.491115
-305.791957,588,120.985791
-1.370295,194,121.145736
58.461222,108,121.493478
40.067598,113,121.584935
-16.724815,238,121.779365
44.945113,128,121.880914
-130.200848,367,122.476401
56.639691,108,122.564225
71.573763,109,122.911501
39.621839,117,123.005979
42.681602,124,123.104459
72.574138,148,123.223653
50.036242,86,123.292203
-618.571016,1000,124.396792
23.166447,132,124.50644
50.52996,108,124.592541
54.378667,102,124.674504
50.078725,102,124.756382
58.940781,122,125.110357
45.644223,111,125.198771
-53.07834,233,125.392067
66.038387,118,125.487447
39.340026,117,125.580083
49.78907,113,125.670808
-29.050694,217,125.848533
71.680351,106,126.239789
-280.03065,564,126.719695
41.089069,122,126.81686
42.154122,114,126.907935
51.990228,93,126.98485
42.632516,115,127.378453
32.306994,123,127.476258
55.811256,104,127.559704
-679.836588,1000,128.989447
47.185733,113,129.082519
-1.628082,230,129.270457
49.51885,118,129.365134
86.541301,122,129.461865
67.895715,114,129.553019
-18.784042,109,129.941789
50.614973,117,130.03609
40.476593,110,130.124304
-23.167774,202,130.289351
52.544622,109,130.37844
-409.790863,660,131.274796
41.960836,119,131.369849
-455.400686,807,132.388979
46.933764,110,132.480852
62.7729,107,132.567448
-52.420365,236,132.762472
45.488858,103,132.844361
-45.207631,315,133.109747
28.273822,132,133.512707
34.424468,103,133.595498
47.705076,121,133.6932
64.385564,101,133.774024
49.628179,119,133.86871
