experimento,total_timesteps,n_epochs,n_steps,learning_rate,batch_size,gamma,gae_lambda,clip_range,tempo_total_segundos,tempo_total_minutos,observacao,total_episodes,mean_reward,std_reward,min_reward,max_reward,first_100_mean_reward,last_100_mean_reward,mean_episode_length,last_100_mean_episode_length,best_eval_reward,last_eval_reward,mean_eval_reward,std_last_eval_reward
exp_01,100000,5,512,0.0003,64,0.99,0.95,0.2,139.0437539479999,2.3173958991333317,Treino curto com poucas épocas,268,-146.01657842910447,286.7033984909348,-715.210429,108.913865,-97.51108619,-190.7712264,371.43283582089555,421.5,52.84880760000001,52.84880760000001,-159.5746339,9.006897562347838
exp_02,100000,10,512,0.0003,64,0.99,0.95,0.2,152.64347583199992,2.544057930533332,Treino curto com mais épocas,247,-177.16365021862347,294.7123757978664,-720.92447,131.704331,-205.61382605999998,-176.45363453000002,406.251012145749,407.88,36.5588128,-35.906122399999994,-296.07152714999995,41.14898255266821
exp_03,200000,5,1024,0.0003,64,0.99,0.95,0.2,214.42073709199985,3.573678951533331,Treino intermediário inicial,628,-100.709117,258.7413410562379,-733.628413,112.173503,-175.45995684000002,-48.811712830000005,319.5907643312102,243.27,96.59995919999999,64.0855172,62.146066354999995,0.8512814957383732
exp_04,200000,10,1024,0.0003,64,0.99,0.95,0.2,269.59896969700003,4.493316161616667,Treino intermediário com mais épocas,737,-57.956993819538674,222.28814167968275,-703.085166,150.494556,-156.38006007999996,24.741265,272.1275440976934,185.53,92.33449340000001,86.23111060000001,-94.244266495,2.8885699679506165
exp_05,500000,5,1024,0.0003,64,0.99,0.95,0.2,564.2980020970003,9.404966701616672,Treino médio,2646,22.902835005668937,159.3536647016028,-705.048693,150.071565,-171.08762420000002,85.00721426999999,189.19879062736206,140.84,102.50219139999999,72.98724580000001,-6.1471033919999964,1.3828379661644272
exp_06,500000,10,1024,0.0003,64,0.99,0.95,0.2,607.1892217550003,10.119820362583338,Treino médio com configuração base,3002,53.905523243504334,116.57004214452557,-714.686831,150.822404,-107.38076641000002,100.65528909999999,166.7728181212525,162.42,121.99065540000001,112.9988792,63.35883368,11.87120179057685
exp_07,1000000,5,1024,0.0003,64,0.99,0.95,0.2,1104.054329082,18.4009054847,Treino longo com menos épocas,5384,46.03087179067608,133.4605881191134,-713.236746,187.498251,-213.15092339,116.13482389000002,185.81036404160474,182.7,154.3166176,154.3166176,26.038922330999995,20.5520906379423
exp_08,1000000,10,1024,0.0003,64,0.99,0.95,0.2,1259.660354179,20.994339236316666,Treino longo com configuração base,5523,48.56435062737643,125.19785461721727,-723.506059,164.598006,-196.97937234,96.14670774999999,181.1265616512765,156.21,122.48577900000001,67.28167499999999,38.33164559,91.60233796288396
exp_09,2000000,10,1024,0.0003,64,0.99,0.95,0.2,2413.672811415,40.22788019025,Configuração principal do projeto,12020,87.51640274043262,90.01473626694774,-703.258897,154.442671,-154.41999197,74.29632902000002,166.4608153078203,197.77,127.531232,94.8035028,96.70940634099999,32.04507612256378
exp_10,2000000,15,1024,0.0003,64,0.99,0.95,0.2,2710.582399686,45.1763733281,Treino longo com mais épocas,11110,51.01634222520252,118.69539580195622,-708.98676,162.659883,-184.40154145,71.19299565,180.09423942394238,163.81,111.653397,79.12103219999999,63.921101382,28.53758147137335
