#{"t_start": 1787681066.1942003, "env_id": "Atom-v1"}
r,l,t
-212.21585,126,3.313315
-209.526422,118,3.574992
-197.897554,88,3.761873
-215.313118,98,3.966081
-192.967272,157,5.113488
-125.8583,84,5.284012
-149.141223,109,5.505688
-201.269892,112,5.712036
-194.778319,136,7.855244
-186.163204,88,8.0095
-196.410342,88,8.174808
-199.781312,170,8.511582
-185.881339,109,8.73727
-210.705633,121,9.40095
-204.589376,91,9.585181
-226.358159,116,9.813426
-184.052794,63,9.939274
-174.596305,85,10.104287
-192.797141,105,12.568962
-197.011868,87,12.74047
-171.304768,119,12.970981
-176.601034,64,13.095742
-192.124308,81,13.258584
-184.007301,108,13.4694
-192.849607,80,13.958735
-206.966647,77,14.107472
-221.24361,83,14.274197
-179.029502,111,14.498099
-199.397803,125,14.748909
-173.369993,84,16.852293
-94.876499,180,17.210209
-192.834855,84,17.380433
-147.356308,141,17.655408
-198.586026,190,18.370228
-196.395856,84,18.53628
-205.235507,114,18.76393
-184.855727,72,18.908504
-174.621622,152,21.175654
-139.67898,78,21.331796
-150.937606,115,21.56271
-82.035008,165,21.894742
-213.491164,141,22.181072
-203.581951,80,22.674048
-162.671598,74,22.819414
-153.186063,140,23.116263
-218.184937,90,23.305367
-162.114421,216,26.312232
-185.276995,87,26.490995
-190.823562,71,26.637617
-164.0282,80,26.796796
-199.803799,71,26.938284
-208.204093,85,27.108448
-217.389107,139,27.810057
-171.278028,141,28.085578
-237.076392,117,28.313984
-202.073345,124,29.564972
-190.386276,90,30.03688
-189.081924,82,30.21108
-174.970443,60,30.328969
-173.864172,113,30.553089
-202.553264,95,30.744591
-183.555104,75,30.896344
-233.350416,169,31.693554
-126.136754,141,31.969521
-155.914917,101,32.605975
-175.310645,124,32.832199
-196.720983,113,33.422041
-261.544108,156,33.738386
-219.892225,104,33.943119
-190.512571,109,34.152379
-196.074181,112,34.75815
-200.207432,94,34.944811
-213.709671,162,36.763136
-221.306437,92,36.941644
-216.441279,111,37.477287
-195.262916,187,37.8156
-189.073436,85,37.981725
-196.140384,86,38.152486
-198.385476,99,38.352206
-187.367026,104,38.967359
-193.459046,109,39.18169
-210.28397,85,39.34988
-202.026911,85,41.223089
-167.661768,243,42.574719
-137.489914,120,42.816118
-165.536237,94,43.001719
-198.010263,83,43.168587
-201.85487,143,44.284282
-218.802383,77,44.520082
-212.060246,91,44.70601
-185.425079,78,44.892977
-213.107091,145,47.22642
-201.334931,87,47.398257
