#{"t_start": 1783528340.8717277, "env_id": "Atom-v1"}
r,l,t
-154.399079,127,4.802593
-130.265213,117,5.034497
-98.955326,87,5.199329
-142.062782,97,5.387701
-99.013346,129,6.266994
-110.963389,113,6.494777
-107.184237,102,6.724774
-99.877242,96,6.927306
-124.498747,112,7.140301
-100.08753,75,7.599169
-119.495291,85,7.787856
-128.663411,174,8.229766
-125.458814,84,8.427031
-144.415703,197,9.16617
-112.200428,106,9.369496
-121.947175,126,9.609848
-117.362099,135,9.869169
-104.884328,71,10.009951
-107.072457,135,10.575043
0.462874,116,10.791647
-123.028457,84,10.949764
-95.587619,78,11.098179
-106.580578,111,11.310846
-71.049841,121,11.856305
-150.309974,92,12.030607
-116.28429,106,12.233185
-116.462816,149,12.51805
-108.3822,84,12.979486
-44.634684,85,13.142258
-117.155892,92,13.316769
-106.051038,158,13.619941
-27.920343,74,13.758971
-59.625236,133,14.313275
-132.565053,94,14.494835
-164.075532,138,14.758817
-149.692802,125,15.000438
-92.414382,93,15.480401
-39.463063,86,15.64533
-82.857302,65,15.769613
-115.374788,99,15.958258
-83.012163,88,16.125184
-88.224969,135,16.381578
-106.350181,89,16.864469
-135.871701,84,17.037772
-15.601228,114,17.283845
-101.402807,91,17.475897
-64.162127,175,18.218783
-95.419784,92,18.414795
-95.093097,66,18.555735
-108.213288,85,18.741058
-115.072448,87,18.92821
-108.228533,66,19.068709
-87.974364,95,19.272702
-65.56682,82,19.764166
-66.956003,141,20.062116
-126.930979,95,20.262755
-148.294575,130,20.53282
-86.843987,109,21.090215
-87.843186,103,21.308222
-74.856479,71,21.457939
-91.030394,105,21.679192
-83.875323,67,21.821236
-99.06315,95,22.022867
-95.060778,72,22.497662
-159.476248,113,22.734621
-144.380154,137,23.017175
-121.470232,128,23.263416
-148.516623,127,23.812811
-106.467262,87,23.984774
31.799472,89,24.1566
-100.243649,92,24.341418
-133.605395,103,24.558445
-83.187615,107,24.783125
-139.769133,138,25.399855
-53.426806,197,25.779598
-103.377587,97,25.97367
-107.074407,113,26.543208
-125.032094,100,26.760061
-101.608823,90,26.980067
-110.253717,73,27.143074
-131.179039,105,27.368848
-114.441146,84,27.582435
-139.635631,112,28.184167
-102.206825,79,28.352247
-111.642334,86,28.533926
-107.015912,121,28.792463
-75.871244,112,29.0323
-129.465276,88,29.574617
-113.398394,94,29.775147
-122.987693,136,30.066713
-75.137701,116,30.314747
-109.853511,146,30.952657
-118.463394,77,31.104017
-75.980063,89,31.27818
-69.441078,128,31.523602
-116.39044,102,31.73154
-123.309947,97,32.205846
-120.103151,192,32.579076
-114.558726,89,32.75827
-111.627953,141,33.03354
-85.295565,67,33.166975
-133.980758,94,33.688884
-101.338097,126,33.930427
-136.180964,106,34.130888
-107.766099,86,34.294832
-74.09968,71,34.428844
-91.400369,56,34.851535
-82.430731,92,35.026947
-92.128557,101,35.219038
-103.085135,142,35.489757
-120.31939,111,35.704194
-132.105935,90,36.187311
-110.411922,82,36.342586
-117.064367,77,36.489922
-82.060244,86,36.662808
-91.775459,76,36.809199
-108.004603,76,36.95638
-94.401328,67,37.08249
-32.558813,137,37.65252
-62.131057,78,37.801753
-137.741725,85,37.964228
-132.166924,120,38.194117
-149.120497,88,38.365063
-85.837682,73,38.809439
-121.898288,98,39.000284
-109.309444,116,39.224974
-130.218351,78,39.372816
-110.847277,96,39.558102
-110.582562,123,40.095126
-134.445721,124,40.332526
-104.726044,96,40.515584
-131.134933,83,40.673593
-112.478632,73,40.811265
-84.921742,199,41.494054
-103.471673,68,41.632024
-111.455816,105,41.835902
-80.319846,124,42.075646
-116.008765,74,42.215181
-117.938473,99,42.722675
-115.104054,73,42.860633
-110.942839,104,43.058226
-121.695612,117,43.282963
-79.747027,74,43.427937
-45.049038,99,43.916209
-123.022514,109,44.124211
-109.232792,144,44.400802
-125.269531,80,44.553797
-101.591583,84,44.712801
-112.369501,82,45.17156
-123.781706,99,45.360881
-112.11921,112,45.57813
-95.946514,65,45.70185
-58.002047,149,45.986806
-124.361878,133,46.546475
-117.797392,72,46.692048
27.734199,139,46.95837
-97.449112,198,47.339919
-97.437676,109,47.851336
-135.529525,130,48.098115
-71.617926,87,48.263192
-138.637884,86,48.428017
-94.983651,83,48.5848
-114.425344,102,49.080181
-110.156711,95,49.258893
-117.686379,174,49.590775
-85.077778,138,49.8558
-134.429365,133,50.418207
-130.767603,102,50.61324
-141.583864,130,50.860323
-100.390048,77,51.006373
-124.030947,156,51.607809
-99.190517,110,51.825137
-72.689564,123,52.060174
-113.545447,122,52.291394
-79.214095,127,52.852533
-98.523786,75,52.997455
-113.460748,81,53.150266
-104.055482,84,53.313064
-122.971497,94,53.493682
-125.307155,111,53.705396
-152.405099,134,54.266555
-84.465112,98,54.454006
-110.817658,87,54.619121
-130.769068,109,54.824798
-62.63058,140,55.091012
-109.537424,108,55.600433
-118.655401,149,55.883478
-84.673457,108,56.088225
-99.687933,88,56.257857
-97.688169,95,56.75194
-122.058846,119,56.977234
-107.720398,89,57.147291
-88.943773,83,57.307819
-131.10379,109,57.515875
-139.018083,282,58.367952
-106.273065,160,58.671657
-84.086337,91,58.845821
-121.556468,131,59.406567
-111.892557,75,59.5497
-115.761426,96,59.734608
-119.449714,97,59.919505
-125.854004,138,60.183393
-119.608304,101,60.685863
-36.529742,105,60.886636
-155.693652,133,61.13776
-103.556771,78,61.287347
-102.34623,104,61.485705
-129.140273,109,62.006631
-97.426884,127,62.250587
-106.791423,70,62.386923
-138.69074,104,62.584389
-94.404059,143,63.162754
-112.225606,153,63.454057
-107.442266,107,63.656763
-83.309971,161,63.962411
-73.414359,115,64.479304
-118.407413,160,64.789253
-120.888054,109,64.99402
-115.364051,84,65.154849
-91.777944,307,66.044938
-91.301735,103,66.241844
-92.657155,118,66.464831
-152.248031,111,66.985174
-75.968799,84,67.143964
-81.962337,88,67.314111
-85.916646,70,67.448442
-101.249785,117,67.675227
-126.981779,101,67.868171
-124.647611,92,68.348305
-119.515614,107,68.553461
-79.747354,95,68.732528
-95.562684,87,68.895482
-76.660669,110,69.102603
-133.880623,102,69.600289
-106.898855,64,69.721602
-102.403449,95,69.901835
-129.647876,104,70.100578
-78.083348,90,70.273354
-108.796891,86,70.437458
-57.819122,95,70.921147
-146.389195,100,71.113624
-80.461998,83,71.271132
-151.307174,101,71.464359
-144.653606,111,71.684631
-131.904701,113,72.204652
-94.964095,128,72.446802
-45.100857,120,72.682039
-137.27044,122,72.914591
-102.454166,83,73.072527
-132.404466,105,73.577674
-96.31016,116,73.798035
-94.279941,122,74.031549
56.664073,134,74.287803
-112.984068,127,74.833758
-98.465848,95,75.013619
-82.422993,112,75.225925
-72.310571,97,75.412103
-122.381305,76,75.557263
-115.417393,109,76.069583
-118.410514,104,76.268431
-145.830335,121,76.499967
-118.002155,175,76.840544
-84.423831,96,77.325647
-110.274297,118,77.551348
-105.098119,118,77.780795
-76.386451,74,77.921279
-92.974255,110,78.130643
-92.45171,90,78.605191
-91.516588,103,78.801825
-110.887844,137,79.062643
-5.733932,93,79.239506
-105.656429,70,79.374502
-139.690768,144,79.946666
-116.870721,99,80.135705
-99.812528,72,80.272973
36.501498,97,80.456939
-101.335799,197,81.147244
-84.038134,143,81.421165
-97.996575,144,81.705806
-105.354126,103,81.902199
-124.485601,93,82.081816
-130.704077,125,82.630011
-4.036218,120,82.863478
-76.695424,185,83.217193
-76.842464,109,83.741264
-96.59026,113,83.953782
-93.452224,65,84.077997
-105.90034,116,84.29862
-91.049613,87,84.4663
-142.160616,89,84.634308
-111.508379,78,85.086275
-95.122902,114,85.304464
-127.690811,173,85.635083
-126.479904,85,85.797681
-127.619459,86,86.262421
-94.710354,116,86.483668
-106.420009,99,86.683284
-97.341113,80,86.836016
-113.15007,110,87.046203
-120.880067,149,87.654007
-77.256923,106,87.857902
-79.223795,84,88.018051
-134.233863,94,88.198024
-92.020714,112,88.413332
-126.943509,170,89.040275
-54.036048,212,89.445195
-81.118969,138,89.706083
-102.844439,79,90.155215
-107.041305,86,90.317579
-78.723715,106,90.519182
-83.388403,103,90.714613
-128.981114,142,90.985934
-87.100616,134,91.54338
-98.964273,167,91.87472
-80.142149,76,92.022264
-99.67376,84,92.186921
-140.802615,179,92.817607
-116.023854,95,92.998364
-6.917874,149,93.281965
10.792578,274,94.099116
-100.515657,84,94.263244
-107.373786,80,94.416645
-92.256109,76,94.566747
-114.704066,85,94.73119
-119.608465,81,94.887198
-113.565638,104,95.370664
-25.409491,112,95.585714
-97.160168,121,95.816955
-153.815115,153,96.107573
-83.965629,80,96.551155
-143.868913,89,96.726502
-85.809098,112,96.940962
-112.885234,115,97.160239
-109.349324,124,97.396057
-59.566022,183,98.030328
-82.909817,94,98.210484
-100.487845,94,98.388688
-123.314235,95,98.569141
-107.70794,137,99.119814
-82.255545,60,99.235686
-98.363325,200,99.620464
-126.319675,113,99.839744
-115.196585,179,100.458774
-94.588058,198,100.839159
-49.176366,334,101.761763
-155.631226,150,102.04687
-137.352659,91,102.221146
-98.983862,141,102.492281
-92.379154,133,103.031565
-108.702211,111,103.24414
-39.475684,114,103.464543
-76.992345,157,103.763631
31.407907,95,104.226007
-92.715815,84,104.386478
-112.541728,84,104.547981
-89.416613,161,104.858212
-105.12168,84,105.020132
-89.097131,115,105.521881
-83.648355,142,105.792851
75.257454,224,106.225027
