#{"t_start": 1789409215.7102737, "env_id": "Atom-v1"}
r,l,t
-287.186326,222,2.933035
253.392676,427,4.454021
186.282295,395,4.949661
710.145934,879,5.79561
-37.555564,419,6.259252
-19.398306,440,6.739471
735.368561,811,7.651252
100.246842,583,8.250013
-206.465711,312,8.508632
1278.410829,1000,9.582463
326.559,566,10.174383
-266.845085,219,10.467228
98.736943,506,11.03113
20.82122,283,11.256642
161.556271,363,11.688692
495.590542,646,12.340236
126.675881,433,12.817071
299.024965,722,13.661408
-153.311713,283,13.895794
-243.74424,374,14.300343
1629.751008,1000,15.297485
82.530924,244,15.493618
1742.4883,1000,16.493808
46.819824,222,16.763613
620.721117,926,17.612485
622.114953,898,18.530784
105.289133,245,18.823543
57.589954,236,19.014779
34.396732,230,19.293198
-86.385185,365,19.591624
98.073693,249,19.889156
160.308849,243,20.084586
291.982398,303,20.424281
-121.825899,474,20.901918
106.641584,230,21.088384
65.91987,242,21.377908
41.696466,217,21.555903
65.353042,223,21.825546
114.431782,224,22.01059
-24.517014,185,22.15893
110.819329,232,22.441899
113.762571,240,22.63838
306.982045,658,23.3919
78.580687,252,23.593895
82.571289,229,23.781903
376.700751,800,24.672223
176.096054,489,25.194332
284.718181,515,25.750966
198.401141,382,26.163542
17.008026,403,26.58921
-461.181734,942,27.494853
75.108712,322,27.854322
-2.69251,266,28.172792
1186.55674,1000,29.087015
123.139597,240,29.375958
244.027705,505,29.887933
98.771182,240,30.151617
764.096784,690,30.902361
19.568019,502,31.413184
28.673599,234,31.601132
222.257656,305,31.945581
183.725996,399,32.370669
90.673535,270,32.587301
59.623539,270,32.907006
262.988254,470,33.393331
105.325988,248,33.59251
145.908467,231,33.784539
215.494582,404,34.20823
236.283071,404,34.634458
65.068412,252,34.938506
-67.944508,182,35.084445
93.064642,225,35.270175
-64.864664,165,35.498045
97.345609,243,35.6914
99.549864,230,35.977653
-54.097628,168,36.111655
-26.005412,173,36.254974
91.650406,230,36.536548
215.254595,341,36.810962
407.354796,484,37.297038
147.00789,296,37.63958
203.937511,309,37.888824
522.755318,480,38.380373
327.559899,321,38.741117
242.413746,297,39.112513
-38.779931,172,39.273201
13.134127,207,39.439882
300.428278,479,39.930523
44.53498,213,40.224486
34.588749,213,40.431144
159.288214,247,40.792327
26.604273,266,41.018808
450.200134,610,41.655312
185.243584,305,42.034403
1757.690336,1000,43.113621
