#{"t_start": 1789413216.4834101, "env_id": "Atom-v1"}
r,l,t
37.273089,188,2.897259
-317.977182,207,3.066286
289.65823,269,3.417042
135.757205,226,3.601096
1065.494841,1000,4.595282
399.036067,352,4.972396
272.970033,286,5.218732
47.939077,172,5.469754
60.467014,204,5.637997
-7.392676,153,5.761049
43.36782,161,5.979299
-52.207593,145,6.09706
44.568161,183,6.245906
-14.126861,147,6.454894
54.804853,185,6.60236
-17.511539,148,6.722843
211.809282,229,6.998017
-5.426304,159,7.124782
11.222967,157,7.251267
38.538136,196,7.525324
45.202648,170,7.668923
-31.53055,163,7.8078
-16.332748,151,8.142008
-45.868587,144,8.267063
135.294528,229,8.46541
209.403961,209,8.859398
230.743836,244,9.068256
838.778219,1000,10.164815
132.552837,213,10.449649
1926.816323,1000,11.525053
210.828517,217,11.714927
12.635246,156,11.850491
164.207202,234,12.156046
181.548102,204,12.331743
16.210937,202,12.608157
29.57027,156,12.744645
55.12072,165,12.887881
-112.413012,122,13.091863
110.27982,182,13.251881
44.027541,175,13.400474
213.903819,226,13.695886
114.065959,189,13.86032
201.797117,221,14.047387
93.100469,187,14.323979
44.266,164,14.464874
87.571447,173,14.613874
399.955437,506,15.14811
5.271818,150,15.380404
39.464734,163,15.521793
39.069296,173,15.669821
46.942661,200,15.942772
95.239269,194,16.110207
111.694262,176,16.361172
68.351073,187,16.525125
166.604662,201,16.698584
253.001876,305,17.068547
85.403254,186,17.229954
1074.031973,1000,18.263399
77.446494,171,18.501318
1345.523969,896,19.350359
218.80088,246,19.666458
296.155322,289,19.90404
917.46658,955,20.869835
187.959182,238,21.162749
188.373371,217,21.337842
1423.686476,917,22.294884
330.558061,296,22.554508
136.208487,215,22.83862
189.508696,198,23.002546
514.477463,616,23.631753
378.902566,285,23.949122
31.479289,171,24.086268
-56.166257,388,24.488018
211.924523,207,24.748537
79.127164,174,24.888695
429.164723,314,25.160942
627.855522,611,25.905754
-63.299165,347,26.20612
82.31434,363,26.638786
