#{"t_start": 1787681368.9287257, "env_id": "Atom-v1"}
r,l,t
-212.21585,126,4.234097
-209.526422,118,4.451862
-197.897554,88,4.608583
-215.313118,98,4.774656
-192.967272,157,5.99025
-125.8583,84,6.126683
-149.141223,109,6.311614
-201.269892,112,6.526582
-194.778319,136,7.076833
-186.163204,88,7.35396
-196.410342,88,7.525964
-199.781312,170,7.860064
-185.881339,109,8.061394
-210.705633,121,8.820728
-204.589376,91,8.999032
-226.358159,116,9.25808
-184.052794,63,9.400848
-174.596305,85,9.563759
-192.797141,105,10.243137
-197.011868,87,10.397223
-171.304768,119,10.59246
-176.601034,64,10.703285
-192.124308,81,10.849782
-184.007301,108,11.03789
-192.849607,80,11.533501
-206.966647,77,11.665061
-221.24361,83,11.808173
-179.029502,111,11.999013
-199.397803,125,12.213217
-173.369993,84,12.693889
-94.876499,180,13.005649
-192.834855,84,13.154209
-147.356308,141,13.400062
-198.586026,190,14.022742
-196.395856,84,14.168201
-205.235507,114,14.364528
-184.855727,72,14.490301
-174.621622,152,15.040327
-139.67898,78,15.173119
-150.937606,115,15.37069
-82.035008,165,15.650428
-213.491164,141,15.889644
-203.581951,80,16.308819
-162.671598,74,16.428335
-153.186063,140,16.657452
-218.184937,90,16.801822
-162.114421,216,17.434886
-185.276995,87,17.576459
-190.823562,71,17.700308
-164.0282,80,17.846474
-199.803799,71,17.962801
-208.204093,85,18.102421
-217.389107,139,18.630072
-171.278028,141,18.861796
-237.076392,117,19.049847
-202.073345,124,19.252856
-190.386276,90,19.699482
-189.081924,82,19.833221
-174.970443,60,19.928185
-173.864172,113,20.108899
-202.553264,95,20.261845
-183.555104,75,20.384412
-233.350416,169,20.95417
-126.136754,141,21.179142
-155.914917,101,21.343513
-175.310645,124,21.542009
-196.720983,113,22.022596
-261.544108,156,22.28601
-219.892225,104,22.451074
-190.512571,109,22.625717
-196.074181,112,23.106239
-200.207432,94,23.26511
-213.709671,162,23.526201
-221.306437,92,23.674758
-216.441279,111,24.167707
-195.262916,187,24.474999
-189.073436,85,24.611631
-196.140384,86,24.75396
-198.385476,99,24.914464
-187.367026,104,25.389685
-193.459046,109,25.56596
-210.28397,85,25.703692
-202.026911,85,25.842385
-167.661768,243,27.835003
-137.489914,120,28.032076
-165.536237,94,28.186086
-198.010263,83,28.322672
-201.85487,143,28.863511
-218.802383,77,28.991111
-212.060246,91,29.137878
-185.425079,78,29.2621
-213.107091,145,33.618369
-201.334931,87,33.757666
-160.338855,141,34.289378
-199.773058,106,34.46575
-185.125953,77,34.591306
-65.652853,130,34.803133
-199.302747,69,34.916348
-205.458914,89,35.363869
-73.281921,107,35.535504
-211.646727,138,35.759526
-209.432902,110,35.937146
-193.605784,85,36.381446
-171.858569,106,36.561286
-171.356717,84,36.696995
-23.798963,224,37.060643
-202.002596,113,37.519721
-196.308753,97,37.676387
-215.357179,85,37.813407
-176.651025,97,37.970174
-198.690873,121,38.170802
-209.374546,78,38.295988
-188.476026,87,38.721534
-178.871354,92,38.87031
-177.23001,70,38.984413
-203.789215,101,39.147444
-176.791069,95,39.301709
-193.384169,71,39.419267
-197.26114,74,39.817636
-150.350545,121,40.015219
-206.212284,99,40.177332
-199.737362,82,40.309694
-215.937391,111,40.49062
-161.405775,103,40.962271
-198.636618,150,41.208881
-183.823722,86,41.347536
-180.205254,106,41.522268
-207.404623,102,41.964278
-207.837499,93,42.115002
-227.503014,154,42.366671
-202.815008,136,42.588438
-197.446688,112,42.770017
-224.766322,192,43.355819
-163.674307,110,43.545489
-184.862188,118,43.737958
-196.533393,69,43.848672
-82.010536,171,44.404956
-209.395495,87,44.550006
-214.695721,137,44.773976
-159.903631,138,44.997548
-188.275367,116,45.464456
-107.443522,116,45.654792
-184.352792,123,45.854038
-212.236644,93,46.003558
-195.39738,170,46.555904
-205.995104,92,46.705233
-117.071081,122,46.901539
-176.029687,181,47.207585
-231.250868,199,47.834724
-192.819778,95,47.988209
-195.458759,136,48.211341
-189.315996,68,48.320169
-161.658821,112,48.805128
-167.776677,137,49.026896
-193.660676,131,49.247194
-219.765674,119,49.443472
-6.866201,264,50.180477
-194.114166,136,50.401855
-161.870405,251,51.110098
-187.016715,92,51.259613
-38.408001,173,51.541612
-162.698616,116,51.735155
-187.030538,61,52.135771
-230.426229,168,52.410779
-217.746059,171,52.687231
-183.909186,119,52.882191
-196.166819,276,53.648117
-196.158337,136,53.868611
-189.764417,148,54.411488
-201.255162,89,54.563542
-181.847058,136,54.784877
-186.584524,199,55.112804
-127.37569,137,56.132292
-193.607235,108,56.307833
-184.496759,133,56.525752
-162.582364,164,56.796654
-119.591316,169,57.351524
-53.675664,143,57.583502
-186.48619,131,57.798264
-189.599658,100,57.961186
-184.262879,108,58.41589
-53.084363,353,59.000256
-180.499951,114,59.495032
-20.673579,184,59.792934
-187.819516,147,60.04347
-171.762486,216,60.678037
-79.23047,155,60.928739
-232.215395,184,61.229269
-113.478634,160,61.776377
-82.96126,143,62.010967
-60.685689,172,62.29549
-184.216813,183,62.876969
-21.872505,123,63.079643
-201.227367,156,63.33532
-211.20113,122,63.544328
-151.782048,152,64.076411
-65.645111,124,64.278851
-192.477159,134,64.502842
-124.607273,315,65.299488
-184.271318,139,65.527134
-205.480576,106,65.69836
-159.680087,114,65.883868
-104.566795,134,66.39777
-88.088991,268,66.852577
-59.719778,93,67.005396
-220.285916,238,67.693252
-57.02552,85,67.833529
-112.539802,198,68.162649
-171.246166,108,68.657285
-183.146652,78,68.784857
-201.592908,200,69.112948
-31.181833,109,69.292707
-172.52433,158,69.86644
-52.664352,87,70.008092
-45.310298,174,70.296396
-24.593498,221,70.959862
-184.055688,160,71.226564
-25.427202,163,71.493229
-207.452323,237,72.184618
-187.752543,87,72.325303
-74.815337,160,72.585224
-48.0227,119,73.081325
-98.019689,117,73.270445
-59.891217,375,73.899802
-21.301195,162,74.478336
-38.23769,195,74.799481
-51.805281,105,74.971637
-28.043436,386,75.904247
-193.823238,176,76.190654
-92.077135,138,76.715314
-59.437547,129,76.92679
-63.667158,81,77.056669
-49.976518,126,77.262146
-193.113631,172,77.841843
-45.280263,174,78.127465
-44.402013,120,78.698915
-53.327299,94,78.851998
-102.926586,107,79.339055
-52.047065,145,79.580874
-80.003242,149,79.823086
-39.129272,99,79.984745
-23.256912,135,80.509459
-128.922033,101,80.674811
-178.935459,110,80.851336
-74.81569,120,81.045563
-52.303876,113,81.531184
-57.681692,113,81.717196
-39.522526,106,81.891291
-18.402703,207,82.22757
-159.894459,84,82.669532
-3.203685,219,83.028157
-22.351851,162,83.293733
-58.803505,107,83.778413
-26.474836,124,83.982721
-68.260115,86,84.124446
-52.120347,194,84.441892
-31.827114,119,84.940148
-141.355553,112,85.122245
-89.403837,140,85.349224
-60.666108,93,85.500568
-27.811676,147,86.048367
-56.661728,195,86.365167
-42.305429,125,86.568128
-94.414505,166,86.841436
-48.936882,98,87.306604
-47.741772,95,87.461623
-162.023398,220,87.81847
-65.149683,111,88.299944
16.809954,303,88.801906
-152.48801,100,88.963295
-28.78931,108,89.142205
-113.645352,119,89.645836
-104.464708,149,89.889726
29.145,172,90.17044
-81.79228,118,90.665658
-87.805748,135,90.890432
-152.888864,221,91.258626
-24.471551,93,91.419116
-24.064835,133,91.942687
-10.81304,159,92.20653
-34.946623,124,92.410961
-62.411651,95,92.565415
-100.95436,92,93.049803
-26.086754,113,93.228058
-34.252011,96,93.381109
2.809572,226,93.776478
-65.060332,192,94.390104
-47.778149,117,94.58084
-126.433472,266,95.316131
-59.879178,115,95.502852
-40.912049,97,95.659107
-34.040466,98,95.815811
-71.582079,101,95.977219
-40.586726,121,96.472375
-34.550792,229,96.850101
-31.650756,143,97.07761
-95.924694,91,97.521697
-55.567907,85,97.659478
-70.723265,98,97.81968
-113.260074,180,98.109818
-35.270285,111,98.286479
-77.987146,130,98.806548
-17.844627,164,99.071203
-66.986847,91,99.216494
-103.980727,171,99.796377
-53.873223,115,99.98016
-57.000384,87,100.120132
-25.092645,98,100.278745
-10.380801,136,100.498246
-25.319219,201,101.476302
8.43801,127,101.681927
-13.140841,137,101.904677
-80.710631,118,102.393629
-175.984649,190,102.701157
-24.29821,107,102.874628
-43.732545,110,103.051416
-210.816011,124,103.533732
-18.910687,128,103.739551
-42.872011,117,103.930111
