#{"t_start": 1789385123.577125, "env_id": "Atom-v1"}
r,l,t
-410.213696,358,3.030594
-456.666883,127,3.114277
-452.986355,173,3.415049
-433.486454,196,3.543295
-450.092881,132,3.629567
-377.881767,383,4.129591
-477.876571,106,4.205526
-463.02901,156,4.528451
-348.0172,397,4.789289
-470.275228,122,5.094475
-454.946207,140,5.186274
-441.284913,177,5.303369
-473.689114,99,5.469535
-463.994448,92,5.530728
-445.910728,139,5.621773
-456.856676,137,5.711954
-276.906491,644,6.23513
-404.958094,289,6.521891
-374.941563,382,6.86942
-344.946293,394,7.226897
-371.054023,391,7.484642
-457.654173,121,7.658418
-308.878472,576,8.132631
-215.487033,776,8.740382
-426.035194,189,8.958641
-388.496665,350,9.190697
-246.330553,817,9.9223
-380.758374,335,10.241112
-409.625617,230,10.393155
305.036694,1000,11.249416
357.707358,1000,12.106846
318.762158,1000,13.062172
301.087568,1000,13.912186
340.282032,1000,14.763731
373.141151,1000,15.621112
328.960393,1000,16.472742
308.486746,1000,17.325327
75.200086,213,17.464967
203.034243,646,17.987552
225.795438,659,18.614541
200.954796,580,19.093812
276.140206,964,19.992783
222.759069,712,20.661395
356.38619,1000,21.777973
93.874332,177,21.895312
266.062381,1000,23.006531
181.347056,696,23.869751
58.380848,118,23.947387
94.617651,239,24.106797
128.596472,523,24.548036
70.041694,152,24.743139
49.306765,119,24.820987
60.665951,187,24.949738
85.334784,118,25.028639
71.58083,131,25.210491
202.609031,893,25.895995
72.791645,115,26.067913
61.357317,150,26.166728
155.379321,512,26.600013
85.740606,135,26.688944
62.440661,137,26.778463
87.871055,130,26.959178
75.248268,106,27.028745
193.383316,735,27.623015
74.711997,124,27.801939
73.323507,140,27.893853
59.956579,151,27.992849
88.151574,148,28.090173
59.504941,104,28.253689
69.055066,140,28.345594
73.667626,96,28.408566
74.862679,102,28.475489
67.402312,155,28.672791
66.491337,122,28.753476
57.513733,126,28.8369
83.923849,97,28.900565
89.863385,120,29.076478
62.190199,97,29.141478
73.970667,116,29.21807
68.320924,117,29.294979
62.891661,115,29.370275
83.861793,109,29.538201
92.523151,390,29.794587
57.585466,107,29.961222
75.454697,122,30.042035
81.169109,145,30.138094
75.326887,143,30.23202
83.057207,110,30.400901
76.994786,117,30.483445
65.320218,170,30.594968
78.188881,102,30.663045
53.951972,90,30.818617
63.556661,116,30.895212
76.319819,105,30.964518
75.631815,103,31.032346
78.084374,97,31.096849
70.666418,102,31.262678
52.934485,105,31.332031
62.007847,102,31.39895
78.399231,109,31.471906
67.227383,120,31.551208
65.937383,117,31.723317
99.225116,137,31.813407
85.372614,140,31.905055
60.854689,113,31.979293
66.952524,104,32.149394
68.412603,96,32.212781
56.848161,114,32.287314
78.356818,129,32.371828
80.737494,106,32.44175
65.956242,132,32.624043
68.581223,129,32.709689
84.989184,137,32.799963
60.436514,117,32.8766
76.991976,129,33.056758
72.271056,109,33.12842
66.11696,114,33.204366
81.986279,108,33.27574
54.964718,101,33.439276
64.97655,97,33.503186
84.605101,114,33.579467
75.606783,118,33.657357
88.344684,125,33.739964
77.669143,101,33.902619
85.412988,104,33.971773
64.947108,97,34.035756
85.763503,109,34.108404
92.472139,125,34.285443
75.123315,137,34.377002
68.788769,170,34.489089
97.714628,107,34.560129
81.739518,105,34.829719
89.236956,106,34.89972
72.143488,105,34.968835
80.880213,110,35.042477
83.124099,127,35.126458
48.063251,96,35.388971
58.733789,90,35.448163
71.025377,120,35.527666
64.784121,105,35.597006
84.952316,112,35.6707
54.888686,105,35.837138
84.498002,101,35.90391
80.420471,110,35.976626
78.433785,132,36.064932
66.818245,112,36.234646
85.056117,99,36.301517
84.97004,118,36.38019
82.113208,113,36.455393
58.134592,98,36.519721
74.071743,113,36.794097
85.368023,111,36.868376
54.848807,106,36.939341
59.750731,119,37.017729
85.411042,104,37.086876
70.034475,99,37.248686
60.938951,126,37.332995
