#{"t_start": 1789388472.7005193, "env_id": "Atom-v1"}
r,l,t
-405.676501,122,2.797537
-398.516695,134,2.889215
-326.025734,638,3.426689
-382.373554,154,3.623436
-391.161784,177,3.744896
-329.235615,829,4.497456
-389.174181,211,4.643333
-372.15549,248,4.814051
-378.478754,152,5.012562
-383.674888,107,5.086774
-402.968859,296,5.291145
-336.75621,700,5.95629
-389.496431,189,6.086757
-384.659759,248,6.350168
-345.666603,540,6.812305
-318.379661,728,7.409057
-378.620622,477,7.834207
-378.960448,310,8.137964
-340.899602,633,8.667765
-343.827889,469,9.080847
124.441975,1000,9.949878
94.677554,1000,10.824587
80.568864,1000,11.703943
78.116287,1000,12.580967
-80.598822,952,13.419215
57.566905,1000,14.292507
119.123832,1000,15.077877
-67.299187,857,15.851746
-59.557818,815,16.597966
-124.470587,131,16.687221
-148.44633,284,16.975188
-150.023361,130,17.070652
-114.135405,530,17.532359
-98.868199,386,17.888523
111.220484,1000,18.761747
-128.803738,195,18.895046
-153.941323,127,18.981875
-105.029344,319,19.290746
121.223048,1000,20.162486
-107.305923,915,20.985208
-114.476198,580,21.484388
-121.935936,543,21.949572
-154.118672,173,22.069596
-130.431367,107,22.143531
-120.544985,112,22.22108
-123.479377,116,22.392645
-138.356617,204,22.534439
-155.029538,120,22.61743
-120.586497,91,22.771904
-145.031633,114,22.851395
-109.488847,120,22.934766
-150.661324,120,23.01774
-126.911891,200,23.247113
-126.480862,218,23.398315
109.51808,1000,24.269774
-110.318944,456,24.673788
-123.295967,91,24.73623
-135.519957,145,24.835355
-127.126919,115,25.005696
-115.963256,114,25.08445
-114.733139,102,25.154813
-121.559792,111,25.230457
-136.538719,121,25.313159
-120.904585,106,25.477791
-126.87343,112,25.555722
-124.51001,113,25.633434
-111.905984,119,25.714811
-132.75236,103,25.876591
-125.305788,142,25.974682
-122.576268,108,26.049672
-131.751501,131,26.141588
-124.98008,108,26.21526
-121.398612,114,26.384545
-119.963023,96,26.451337
-118.410635,733,27.045927
-136.668575,134,27.230956
-113.771611,95,27.29681
39.416405,1000,28.167754
-118.667757,144,28.266184
-113.306491,167,28.380409
-120.967324,104,28.659686
-133.615214,95,28.72602
-141.232176,255,28.901567
-142.713779,135,28.994388
-116.124957,168,29.201576
-130.779932,120,29.284346
-100.900193,997,30.151212
-136.900911,108,30.225673
-132.957065,109,30.300533
-127.572768,138,30.486042
-138.690914,97,30.552636
-136.964531,99,30.620436
-174.393333,398,30.984924
-112.09814,107,31.05893
-113.055822,101,31.12944
-118.481304,390,31.492591
-149.559141,128,31.581865
-140.266885,116,31.661275
-135.525975,134,31.844851
-119.042081,166,31.959433
-130.434159,117,32.039809
-127.043324,115,32.211538
-124.538249,412,32.495985
-107.414838,117,32.666639
-123.352392,147,32.767919
-119.60153,97,32.834891
-127.074034,125,32.921225
-81.120349,127,33.099335
-124.671914,115,33.17831
-97.30155,838,33.844416
-107.037023,113,34.016148
-146.97487,377,34.274696
-103.726828,223,34.517828
-114.030743,99,34.586207
-108.784966,164,34.699033
-118.031449,122,34.87692
-100.152573,107,34.951135
-109.422579,109,35.026159
-127.158443,159,35.136323
-120.262331,105,35.208967
-132.060365,152,35.405485
-98.91822,401,35.772767
-118.109321,150,35.876114
-113.815163,107,35.950047
-133.154431,99,36.01877
-110.79272,181,36.236329
-81.96411,134,36.328302
-104.045986,257,36.504344
-121.405247,100,36.664309
-118.330595,114,36.742726
-114.088824,111,36.819238
-137.194211,183,36.94434
-97.426765,125,37.124931
-99.904096,178,37.247733
-118.535753,102,37.318344
-98.107947,153,37.424672
-112.970865,153,37.621569
-74.356752,367,37.873394
-104.444563,138,38.058717
-114.399165,124,38.144073
-124.030348,125,38.23
-126.531004,160,38.429979
-108.575888,129,38.519267
209.622852,1000,39.391004
-120.068443,160,39.501627
-121.675466,305,39.8047
-112.982696,106,39.877338
-106.361304,130,39.966949
-118.62668,156,40.074312
-110.89462,110,40.24159
-111.031229,151,40.345188
-84.447715,352,40.681384
201.680413,1000,41.570474
-95.12397,296,41.776309
-57.403891,370,42.125689
-89.691554,230,42.283511
-97.270095,252,42.552269
-71.087322,563,43.029281
-81.924619,154,43.134568
-44.240057,415,43.509186
-99.3522,114,43.587526
-93.119041,148,43.780048
-56.029988,403,44.056662
-93.013612,225,44.302956
-94.086589,214,44.449197
-97.060964,182,44.665402
-2.068703,924,45.393419
-49.742592,314,45.701947
-65.770388,387,46.060929
-121.533401,366,46.631148
-89.938008,118,46.804857
-79.604958,241,46.970315
215.64601,1000,47.844527
-97.715036,218,47.992859
-80.685233,150,48.186122
-92.062997,167,48.300534
-62.419148,343,48.626543
-83.221324,115,48.705696
-49.575006,559,49.180673
224.150829,1000,50.052915
-102.611427,144,50.152034
-56.718555,334,50.471678
76.329853,976,51.428157
310.384917,1000,52.293442
-44.321266,926,53.110058
263.004234,1000,53.97732
-106.263187,116,54.057586
-80.315373,179,54.179384
-90.59351,125,54.264783
45.971037,538,54.723
219.561639,1000,55.592218
-95.413924,118,55.7649
229.801382,1000,56.635628
-87.507461,160,56.74387
-73.726688,147,56.844827
354.147208,1000,57.767567
292.968223,1000,58.631613
-95.021115,132,58.721751
352.767926,1000,59.591553
370.125891,1000,60.454585
-113.357294,106,60.52696
90.278377,634,61.145112
-132.993203,423,61.638275
254.653855,1000,62.527072
-66.371149,235,62.914351
-69.928294,176,63.035056
47.917653,469,63.578335
24.497399,616,64.187573
-65.440491,227,64.545268
-77.806454,150,64.647958
417.612055,1000,65.743222
-95.333473,122,65.826547
362.904346,1000,66.956597
415.539608,1000,68.101239
91.17649,781,69.071005
312.506216,1000,70.203703
-79.451886,244,70.373049
364.449652,1000,71.494468
363.281206,1000,72.613008
-84.03527,204,72.96399
-16.481488,431,73.278526
-100.541259,119,73.570492
-117.906381,346,73.811248
-115.917531,210,74.167616
-87.19332,147,74.270574
-101.954395,191,74.403813
-34.181787,268,74.813184
-70.89582,201,74.953434
-49.838433,167,75.161784
92.268784,831,75.828002
-93.491319,266,76.106015
-43.318022,156,76.214124
354.373758,1000,77.208142
-86.135266,115,77.288392
-89.935955,133,77.380048
-77.9702,151,77.721496
-81.88272,123,77.806879
-82.096766,137,77.902444
-93.188919,127,78.210785
411.828819,1000,79.133287
-90.291054,156,79.467003
447.764057,1000,80.478947
-96.587295,111,80.556329
-51.056648,105,80.629998
-61.615494,144,80.729406
-77.660247,126,80.908977
-3.549868,525,81.369064
-79.778012,134,81.462549
466.346363,1000,82.363552
-87.30051,135,82.456734
458.043323,1000,83.358287
-69.044604,130,83.448851
-93.430103,128,83.629651
528.816227,1000,84.589361
434.094539,1000,85.474623
-27.01537,418,85.775531
-47.570102,123,86.015468
377.667394,1000,87.161965
-61.949101,134,87.256819
-96.283302,113,87.336886
-90.926259,130,87.42714
82.401421,479,87.874505
-75.899657,116,87.957818
-46.078667,193,88.185719
-80.525177,118,88.268954
-72.763163,162,88.384487
-32.689292,146,88.581335
-109.660937,130,88.673352
-96.261745,186,88.804379
-81.757221,119,88.977572
427.545607,1000,89.787261
-43.175786,164,89.994272
-128.80674,187,90.125888
-82.390598,135,90.221997
-72.116106,209,90.461748
-52.736257,110,90.53932
452.705106,1000,91.436764
-62.737735,122,91.523274
-23.939117,170,91.736557
514.24871,1000,92.648236
528.296321,1000,93.459989
493.901459,1000,94.356755
70.963304,488,95.208273
-50.888317,145,95.533807
-63.564989,116,95.616839
178.197101,576,96.122909
526.582597,1000,97.014569
-72.276317,120,97.099034
-36.736789,121,97.184045
-60.132178,129,97.366835
-52.834535,137,97.463769
-23.037068,114,97.543225
-69.076884,137,97.64043
469.309757,1000,98.535844
-44.863199,147,98.73038
-14.729269,216,98.883359
-47.583406,166,99.002755
-34.304837,118,99.176698
81.140015,422,99.473576
-38.797476,142,99.664427
-45.006377,124,99.751113
-53.822809,108,99.826832
-90.266347,111,99.904805
-65.373376,115,100.080987
-15.098026,152,100.188251
-8.81823,129,100.278097
-36.706008,183,100.497787
-70.081252,123,100.586134
0.542519,136,100.683452
-47.323879,102,100.7547
-26.337555,153,100.955201
-61.436094,137,101.053675
550.57241,1000,101.94676
559.53155,1000,102.83421
-154.72731,230,102.995438
-76.663803,134,103.088668
-103.35035,209,103.325235
-47.365843,149,103.430242
-55.716152,143,103.530997
-54.447774,143,103.725588
1.538612,402,104.010724
134.244894,551,104.577763
48.48882,218,104.730256
1.720145,142,104.829728
-22.605156,151,105.027076
487.327221,1000,105.911769
329.367448,1000,106.702652
586.708749,1000,107.582568
-41.735599,128,107.765802
91.963572,810,108.434666
-43.893733,132,108.619195
501.704235,1000,109.490372
436.351341,1000,110.624155
3.049797,171,110.838825
-26.041795,119,110.921064
-49.175461,134,111.013388
534.037591,1000,111.894584
-35.922065,116,111.974899
156.02519,590,112.831175
-24.585611,133,112.924041
-24.400701,131,113.014767
-77.896779,123,113.100074
-64.319474,126,113.392522
-28.390661,137,113.488861
-81.211614,161,113.600406
-52.744551,111,113.67784
-38.206095,125,113.988025
-86.34678,128,114.077404
8.309544,134,114.17064
-40.526597,130,114.26177
-72.00982,136,114.580141
-46.318521,113,114.659973
-57.502049,105,114.733406
20.775284,133,114.824913
-17.446951,130,115.1384
-41.270153,123,115.223063
-20.73148,111,115.299315
-67.798738,194,115.433134
-48.564322,145,115.730852
-33.420343,139,115.827157
568.50174,1000,116.712493
501.90991,1000,117.591883
-29.276219,193,117.723842
-76.230961,605,118.231993
-27.49526,149,118.428642
629.512994,1000,119.310445
508.856324,1000,120.187746
44.736812,165,120.300766
-16.288529,115,120.379592
-24.61349,139,120.474888
-39.812336,144,120.666177
23.896094,198,120.802174
-58.944442,123,120.886384
-14.379369,170,121.096719
1.303958,127,121.184816
-20.041702,124,121.269254
-12.584251,111,121.345112
-1.301327,128,121.525142
-3.22412,115,121.604458
-56.270565,150,121.707276
596.071194,1000,122.687006
-3.827877,136,122.781337
-22.820863,135,123.096312
-9.900126,142,123.193623
-23.15524,131,123.284551
-12.833628,122,123.368265
-27.533168,114,123.669186
-41.856414,895,124.475677
-62.907661,100,124.742178
-26.665338,118,124.824208
-36.715147,100,124.893209
31.863319,153,124.997656
21.923841,128,125.293313
-25.960851,125,125.380607
178.710657,444,125.889058
-0.989036,136,125.982436
23.847363,128,126.070007
-83.16793,278,126.473951
-15.202445,113,126.551812
-58.250307,130,126.641847
0.845113,159,126.949645
-23.375374,112,127.028309
-123.005307,337,127.261021
113.151195,249,127.632184
-8.978305,160,127.741582
-5.818321,139,127.837192
10.273391,118,128.142288
650.027962,1000,129.271674
7.037022,115,129.351245
264.983105,518,129.929973
-11.562646,145,130.030644
555.520638,1000,131.155983
-14.607196,119,131.238038
4.660165,201,131.576148
-1.811451,138,131.671076
18.058216,200,131.807972
217.697515,518,132.372488
17.868352,156,132.702332
-45.974824,131,132.794592
13.791436,171,132.912255
-23.134175,118,133.206862
13.265702,571,133.820213
-84.884503,186,133.949471
83.166423,195,134.083262
-9.080439,117,134.371386
16.031883,152,134.475097
95.458572,301,134.878844
35.310331,137,134.976094
-22.223621,138,135.070169
-15.202135,108,135.144568
-6.878137,114,135.222959
-51.362967,151,135.548507
20.011293,139,135.643801
-1.525751,187,135.772279
-15.039864,117,136.078497
-22.741927,105,136.150554
47.212542,208,136.293286
-17.029638,127,136.575521
108.694447,316,136.798736
7.070466,171,136.917031
-33.360544,111,137.226182
7.85915,153,137.331161
-64.917892,136,137.425163
-26.179807,129,137.513603
-41.827717,111,137.821945
-28.797815,106,137.895393
-39.341333,168,138.011601
-45.327481,153,138.330258
44.030347,195,138.46675
632.256948,1000,139.608202
282.375552,927,140.674
-16.409192,141,140.77142
-30.644255,94,140.83604
73.871513,326,141.259064
-50.910873,117,141.340832
-111.922695,300,141.769434
6.729834,144,141.868855
-47.778055,97,141.936671
-27.014769,110,142.012855
-35.767567,170,142.33371
-3.107677,141,142.431108
-0.911197,136,142.523951
-15.772139,118,142.605532
-29.351731,181,142.83527
26.689774,141,142.932088
-78.368464,94,142.996853
3.150146,124,143.082045
-69.681009,90,143.236642
-236.376333,181,143.361243
-23.823293,148,143.462722
-47.599828,110,143.538602
-27.432419,122,143.714696
10.583168,148,143.817179
-43.53518,110,143.897139
-57.19962,137,143.993276
-28.525764,166,144.340786
-25.862143,104,144.415631
176.579918,384,145.193953
144.195973,326,145.416617
-17.144487,144,145.711817
191.451707,740,146.42154
-23.787603,147,146.52334
-16.408589,117,146.82637
-32.246795,163,146.938789
-1.162245,170,147.055467
-71.691447,90,147.117934
-38.63554,104,147.393576
-39.636934,119,147.476534
1.158922,130,147.565531
-14.488118,109,147.640077
-43.978939,115,147.941479
15.119704,128,148.029709
-44.217297,113,148.108172
-10.613666,140,148.204408
-90.787864,89,148.490013
-17.925634,115,148.577112
-36.320059,110,148.652521
-12.588075,121,148.73478
-30.403859,113,148.811996
-66.524679,93,148.973473
-37.81114,111,149.049314
13.833148,144,149.146971
15.547021,132,149.237671
22.889185,171,149.446319
-54.085819,142,149.543285
36.156864,198,149.677348
-18.265396,101,149.839133
-9.126744,120,149.921512
206.007193,730,150.522348
11.448024,122,150.605859
130.607171,797,151.333695
34.006065,150,151.435571
-12.333846,114,151.605197
-24.235862,105,151.677844
-40.523927,101,151.746389
295.683073,962,152.707929
-28.240864,134,152.798798
-27.623872,111,152.876868
13.394348,135,153.192332
-26.011967,149,153.337128
-54.409409,108,153.411703
-34.737191,123,153.495447
-42.337968,117,153.797502
-24.762527,155,153.905698
-22.182054,114,153.984718
-40.097001,155,154.091364
-72.485256,91,154.246912
4.285652,156,154.353631
12.182194,157,154.460008
0.532755,119,154.540743
-10.413086,145,154.732096
-38.067631,131,154.821048
310.383601,976,155.67313
-13.569222,122,155.755913
30.407718,225,155.909727
-32.118091,192,156.13711
-35.735866,130,156.225789
-56.723006,121,156.309944
-38.508134,99,156.470345
14.200516,142,156.567183
-13.246087,120,156.649399
-4.2,125,156.734383
-28.409208,109,156.90156
109.931999,356,157.145506
-9.491876,173,157.362906
110.60017,660,158.030827
339.287689,673,158.691042
137.978991,475,159.238251
-2.028604,118,159.319434
-34.371391,136,159.636465
-10.980176,162,159.747261
38.207231,190,159.877586
-8.444998,342,160.312797
170.341275,338,160.634915
8.128595,222,160.788229
-71.921183,145,160.888219
129.208529,479,161.406122
80.32008,278,161.819671
-32.706263,130,161.910042
-20.246331,126,161.996163
187.436409,390,162.45707
-9.256205,175,162.576603
170.766427,427,162.961595
-6.951695,136,163.055439
165.486064,367,163.398957
-40.151777,96,163.464998
139.200469,423,163.849227
32.093193,191,164.180227
471.994616,865,165.00557
-165.821499,485,165.428345
8.138622,803,166.163239
-88.332325,618,166.676295
-210.586537,385,167.034438
532.480445,1000,167.902121
298.706741,891,168.732847
-3.955285,157,168.93161
451.416494,1000,169.80322
195.187854,630,170.32803
105.0113,270,170.514132
539.448925,1000,171.385586
232.998751,480,171.806906
13.545799,234,172.058375
-14.465095,141,172.156531
106.178123,421,172.5355
-12.661562,167,172.650427
-75.819799,102,172.726117
205.688562,659,173.360251
-9.973659,154,173.465123
-39.306173,155,173.571657
-53.340939,137,173.756712
397.349935,1000,174.628124
195.583061,543,175.090349
64.383358,315,175.304229
50.003714,172,175.511778
-36.969094,91,175.574316
209.366746,589,176.069986
25.4508,233,176.231263
-38.110126,131,176.41275
180.769474,529,176.863763
-67.243092,99,176.93141
-64.478977,153,177.034611
-25.919827,119,177.116243
-48.078912,95,177.273068
-3.703413,160,177.38438
-31.886052,115,177.463132
-3.368885,245,177.723724
-14.095342,115,177.801704
299.598914,690,178.36993
1.183872,157,178.477457
82.578513,204,178.710266
10.36395,150,178.813306
-2.411497,143,178.911474
-2.135799,136,179.098497
47.6353,154,179.204422
93.363466,249,179.37505
1.08755,147,179.569099
-60.531737,98,179.637269
-38.040363,108,179.711705
6.935651,137,179.805358
19.698668,144,179.996646
146.327441,410,180.279536
-27.115319,104,180.445988
0.434564,162,180.556753
-22.040553,90,180.61754
-50.462847,114,180.696041
-7.904674,129,180.876843
60.286071,226,181.031912
-8.822596,152,181.138361
49.95748,141,181.327653
24.929027,156,181.43907
7.834247,149,181.541182
34.075112,208,181.777161
-29.278016,199,181.912707
27.839455,144,182.010642
84.649849,186,182.230589
14.890175,145,182.329134
-61.365695,99,182.397491
-42.205015,105,182.469859
24.644024,156,182.67032
46.084233,134,182.761971
7.945098,131,182.856437
24.275507,135,182.948259
-21.842765,130,183.129841
41.437045,148,183.230802
8.333477,125,183.316948
80.712925,222,183.565852
-2.354681,156,183.672099
25.027535,165,183.784654
-37.516737,108,183.949661
55.177458,142,184.046948
-59.682401,91,184.111804
-5.820399,140,184.207628
-31.921744,101,184.276566
-21.481004,218,184.647865
234.63337,403,185.128405
-11.49612,112,185.205356
131.750786,279,185.394758
-7.681748,137,185.580157
42.314319,138,185.673136
86.606944,205,185.813179
93.056409,204,186.042632
46.716261,125,186.129642
58.159324,156,186.23515
31.146529,134,186.418797
4.847796,112,186.495101
26.170796,134,186.586651
-22.437188,112,186.663193
43.930578,164,186.865729
2.072412,130,186.95655
-38.290637,112,187.034793
-27.752619,106,187.107868
26.137715,141,187.413889
40.985983,152,187.522008
-4.979558,116,187.602651
36.433944,148,187.702944
6.379917,139,187.892143
-19.379072,125,187.978667
-8.0776,147,188.080348
57.446758,138,188.174054
5.524022,120,188.349689
63.210705,177,188.470439
-15.320123,113,188.546858
73.612278,161,188.751919
10.750232,124,188.836721
178.476837,297,189.038826
60.238615,129,189.219756
15.241825,136,189.312422
87.067295,224,189.465901
2.240602,128,189.644735
51.144598,156,189.750288
-30.387213,107,189.824066
120.446489,282,190.107068
65.318681,187,190.233929
-42.686088,100,190.302492
246.861528,449,190.703754
14.316717,150,190.80533
26.889508,153,191.002845
10.164732,130,191.092595
-48.038426,108,191.638505
13.640786,132,191.73033
