#{"t_start": 1789398634.679438, "env_id": "Atom-v1"}
r,l,t
-570.553568,82,2.878988
-556.695041,95,2.951348
-562.529862,81,3.013126
-566.377048,101,3.09046
-551.514723,113,3.176368
-563.605311,107,3.357587
-530.158553,95,3.429842
-576.881301,85,3.495405
-556.106528,85,3.560591
-575.124229,111,3.645294
-553.810888,85,3.805234
-545.106033,90,3.873667
-520.84374,84,3.939639
-530.015464,93,4.009818
-544.350689,91,4.079324
-543.886125,94,4.152544
-559.304219,87,4.314516
-557.661714,107,4.397636
-541.817022,102,4.476629
-596.039666,85,4.542565
-555.525551,89,4.611773
-568.932502,84,4.677714
-524.689044,86,4.850874
-542.174571,90,4.920785
-538.996893,75,4.980153
-532.970245,86,5.045585
-562.418694,93,5.117373
-563.857498,82,5.181824
-531.774637,72,5.33009
-553.390661,91,5.40571
-549.852942,115,5.496475
-558.367764,102,5.575711
-544.640078,87,5.644255
-558.635312,111,5.822396
-575.0712,142,5.931226
-548.805543,92,6.001866
-538.188975,88,6.06937
-539.053284,92,6.139854
-535.82092,133,6.337731
-564.171723,74,6.396524
-560.482375,94,6.468845
-538.351335,114,6.55542
-557.983159,96,6.629074
-564.792475,86,6.786486
-515.426968,87,6.8544
-516.509928,152,6.98392
-565.422714,83,7.047614
-567.666582,97,7.122244
-555.265707,99,7.396286
-551.018656,93,7.46793
-551.414183,102,7.546343
-522.183769,73,7.602119
-560.616081,112,7.686507
-560.762342,88,7.923909
-538.726636,87,7.991576
-574.929034,102,8.069584
-562.706942,80,8.131357
-551.664804,102,8.210697
-540.770233,88,8.278489
-568.575554,103,8.579898
-579.663194,130,8.679001
-534.230299,149,8.794008
-534.193255,98,8.868468
-528.331383,111,9.149347
-565.540617,123,9.244258
-571.659008,91,9.315964
-523.886585,89,9.386513
-573.461656,91,9.457012
-538.684329,120,9.643149
-548.030661,93,9.717061
-559.68842,87,9.787755
-586.206384,108,9.871594
-546.830563,86,9.940404
-531.416619,101,10.23851
-545.34832,146,10.357895
-558.383674,124,10.456151
-550.578733,97,10.543915
-568.208821,103,10.623882
-567.941479,106,10.920089
-544.328534,116,11.01275
-546.651916,108,11.095781
-531.691263,101,11.178737
-569.312714,105,11.258519
-546.643753,97,11.478967
-560.200206,105,11.575397
-522.1308,106,11.666783
-547.811338,107,11.758639
-572.142928,157,12.023015
-523.6464,118,12.12357
-568.35675,95,12.203536
-501.886384,95,12.282521
-541.492591,80,12.348774
-549.34486,110,12.66026
-609.864825,113,12.758023
-562.828897,110,12.853038
-550.295955,155,12.98539
-548.553895,119,13.259186
-545.302292,99,13.347167
-546.866797,93,13.42959
-514.439785,99,13.514925
-510.056408,248,13.952588
-560.395839,104,14.039084
-579.537803,96,14.119919
-563.879215,130,14.226919
-579.408357,111,14.31986
-546.987721,120,14.619095
-545.853937,101,14.703358
-546.067714,107,14.792616
-549.726421,166,14.933288
-538.62563,185,15.297136
-542.928737,92,15.372298
-546.410719,86,15.442045
-535.467804,129,15.547571
-541.797893,114,15.863906
-550.054136,137,15.978182
-526.950457,149,16.103647
-517.722442,105,16.190824
-533.809535,108,16.477086
-535.217529,161,16.609207
-562.516225,115,16.705721
-547.815417,84,16.776195
-587.337059,110,16.868587
-528.705919,92,17.043506
-515.448415,131,17.152882
-538.1069,116,17.249799
-555.539239,106,17.344337
-545.660099,115,17.53504
-540.193802,115,17.63129
-534.577065,97,17.710635
-556.45193,108,17.798463
-572.990751,125,17.901037
-549.218526,176,18.141262
-577.140743,106,18.232762
-557.80345,86,18.305086
-529.617837,122,18.407065
-546.491469,125,18.608606
-536.440983,78,18.674488
-555.428129,101,18.761065
-522.892251,132,18.870397
-570.626064,346,19.259648
-540.797723,224,19.446583
-572.241227,125,19.647288
-508.877197,132,19.760563
-540.158969,155,19.88901
-557.147962,86,19.959075
-552.914994,117,20.152434
-518.405155,134,20.264114
-527.777386,93,20.342826
-575.575171,101,20.427413
-533.76527,175,20.667454
-533.054493,134,20.78502
-532.578123,122,20.887372
-545.277112,120,20.985964
-549.930984,178,21.22809
-535.392806,92,21.303893
-497.60826,155,21.429316
-567.220213,96,21.507623
-514.617301,232,21.802795
-519.274295,141,21.92169
-543.501677,99,22.00342
-557.409645,98,22.084082
-534.837714,129,22.287387
-540.785237,104,22.375738
-513.109056,137,22.488513
-542.837763,98,22.570911
-540.643979,134,22.967019
-555.751782,118,23.062877
-556.153233,187,23.217554
-537.447867,92,23.294241
-555.923167,97,23.582189
-541.090466,142,23.709614
-548.849929,93,23.791515
-564.802729,118,23.907008
-553.476337,124,24.012988
-555.6749,91,24.204614
-512.410216,128,24.315253
-511.267219,115,24.413506
-551.014389,111,24.507056
-527.701879,102,24.708723
-514.135364,121,24.815438
-517.115198,170,24.965622
-535.222135,227,25.261306
-543.647783,117,25.357923
-544.829122,95,25.43672
-522.80752,135,25.549272
-552.150688,170,25.788929
-526.127524,141,25.907946
-519.59966,111,26.001671
-571.820453,98,26.085848
-555.862516,89,26.16171
-549.02958,190,26.418363
-541.609449,131,26.52797
-556.658054,116,26.631557
-548.351939,201,26.983117
-550.802645,87,27.056029
-563.208325,325,27.32933
-562.359896,153,27.752028
-559.107187,146,27.868767
-564.191045,141,27.979444
-552.443906,346,28.37897
-541.920257,215,28.544026
-530.336196,104,28.839848
-511.568711,238,29.023822
-529.344875,253,29.314208
-569.598146,97,29.388565
-536.708833,120,29.481479
-536.035813,131,29.581634
-559.541657,157,29.795274
-537.520344,108,29.878205
-572.234586,238,30.059963
-588.487181,512,30.546955
-554.367304,110,30.631181
-525.893161,134,30.826774
-598.112285,376,31.115322
-594.875787,637,31.794405
-558.492264,271,32.0048
-569.702213,417,32.420712
-542.870065,141,32.529848
-669.541816,660,33.227976
-595.737956,199,33.380564
-588.403119,229,33.556237
-734.185936,846,34.398261
-699.997512,509,34.884646
-697.893539,488,35.355024
-235.074497,1000,36.319896
-561.74266,119,36.411369
-322.507005,1000,37.374138
-568.711889,342,37.731646
-616.270844,860,38.590535
-152.197677,1000,39.656884
-532.186012,212,39.824416
-503.425926,398,40.226845
-487.410143,382,40.543002
-449.917918,609,41.314074
-492.913786,765,42.03395
-492.65204,472,42.51205
-462.735129,335,42.879731
-50.6545,1000,43.855924
-26.830117,1000,44.841389
-478.215385,226,45.021016
152.533379,1000,46.002416
-508.662999,193,46.153845
236.320591,1000,47.130369
-361.551694,847,48.006492
429.518031,1000,48.981776
-406.815232,229,49.161074
-438.798708,246,49.47592
429.784156,1000,50.488202
557.460187,1000,51.519276
-17.810087,791,52.272009
770.709723,1000,53.252791
-94.033919,608,53.832662
751.263725,1000,58.682585
-259.721668,501,59.164407
-337.087065,336,59.516719
-244.61232,384,59.908261
751.660743,1000,60.868476
-274.233053,372,61.157366
2.880832,657,61.850573
742.131459,1000,62.886687
232.407485,900,63.803065
-152.400218,435,64.366161
742.875655,1000,65.556813
730.706235,1000,66.652275
-212.061539,308,66.980937
109.207832,678,67.596157
291.461223,711,68.328695
1113.360051,1000,69.192029
196.193194,665,69.890442
1212.513835,1000,70.84915
-57.076476,396,71.244867
-163.677794,295,71.47195
372.215675,784,72.25896
332.498526,741,72.922021
-256.788155,227,73.189207
-277.098503,195,73.34074
551.947194,906,74.221391
-300.859285,214,74.386134
-331.050305,201,74.540799
-365.487096,135,74.739103
-210.213662,287,74.959704
289.566212,742,75.827672
-265.139406,239,76.011889
1222.219963,1000,77.209824
1202.012749,1000,78.420251
397.744823,761,79.427273
-226.804779,271,79.6335
-220.441019,250,80.029745
-104.025657,365,80.308859
-262.200892,215,80.712433
-107.367578,329,80.962643
-220.49529,255,81.358134
-172.11113,294,81.582555
-256.894804,215,81.973417
428.313811,700,82.720292
248.115635,725,83.72229
-283.200051,239,83.906138
457.322266,799,84.949128
-207.481857,304,85.182261
-259.162408,227,85.579224
607.331189,733,86.237814
1251.875497,1000,87.189342
388.408495,716,87.925639
-226.846726,229,88.102842
723.702265,916,88.991832
1321.86601,1000,89.950236
195.470395,542,90.458716
-160.194643,231,90.636169
-27.099533,447,91.070383
298.915847,612,91.634499
1329.613969,1000,92.592841
145.734225,470,93.045005
584.962369,711,93.781916
-54.342991,394,94.082132
600.232222,719,94.831885
10.254946,376,95.122698
395.057349,633,95.792698
1301.092792,1000,96.751812
1481.832931,1000,97.715803
91.793522,327,97.969629
-7.152778,340,98.324164
438.095943,641,98.915023
-92.794991,331,99.267576
1530.567013,1000,100.336077
730.402109,800,101.051466
541.316163,697,101.906128
457.730217,581,102.577602
2.038976,283,102.800306
-143.717729,232,103.183546
425.905361,538,103.697881
1123.576775,960,104.634665
772.597087,825,105.368718
-152.784526,219,105.629257
1730.304444,1000,106.593084
494.804364,645,107.18627
-78.232252,252,107.381272
-137.588004,220,107.643179
1807.364157,1000,108.621845
1776.741867,1000,113.329619
205.357348,390,113.857524
494.14723,500,114.442899
-23.316215,225,114.617887
434.707779,529,115.227957
653.928581,641,115.948921
-97.952653,262,116.245045
-102.681159,245,116.434429
105.959922,387,116.826367
146.908451,372,117.202356
524.439407,604,117.761913
-163.184623,201,117.919565
318.333231,406,118.325421
1799.126743,1000,119.300603
