#{"t_start": 1782239783.930136, "env_id": "Atom-v1"}
r,l,t
25.084388,102,0.279965
27.144595,107,0.375856
30.016891,100,0.468577
30.077743,103,0.562871
28.45514,93,0.644964
23.590721,82,0.718613
33.055015,99,0.808775
31.752324,87,0.887109
37.709206,131,1.00451
27.804796,96,1.091931
25.152081,76,1.321311
42.995887,119,1.418956
39.742997,130,1.524248
28.260816,88,1.595761
24.332745,80,1.660631
30.423127,101,1.742296
25.719739,80,1.806954
35.926452,108,1.895218
20.523127,74,1.95408
31.877779,99,2.032488
26.423974,78,2.092854
31.835556,111,2.44119
28.42935,93,2.516464
33.266466,121,2.613321
31.861337,117,2.707001
28.453072,91,2.781067
36.133099,116,2.874838
26.023629,85,2.944548
31.14559,116,3.035749
32.855869,100,3.116677
27.451458,94,3.388831
35.941599,105,3.473133
17.981858,76,3.533217
34.643915,104,3.616009
33.328487,111,3.704203
27.728753,100,3.785037
31.931102,109,3.872119
35.636504,116,3.965537
28.434328,88,4.035833
28.502996,89,4.106325
25.633945,76,4.166461
29.340018,85,4.451711
30.339576,97,4.528352
23.532338,76,4.589312
32.514599,92,4.661865
36.83757,109,4.748174
34.477644,110,4.836286
34.752732,127,4.938144
28.209156,95,5.01383
31.223163,95,5.090326
32.387259,94,5.164709
31.447559,111,5.413929
26.317039,85,5.482202
26.544758,81,5.547236
32.167531,94,5.623924
29.576216,86,5.692353
21.239457,66,5.745444
26.663517,94,5.820743
24.98423,80,5.885667
31.839945,115,5.978721
31.975285,91,6.051939
25.766925,75,6.111866
27.955967,87,6.183623
18.469369,70,6.422923
25.292701,73,6.480889
40.672549,143,6.596567
31.247512,107,6.681552
30.649268,97,6.75923
21.465252,107,6.846884
22.907402,73,6.906138
30.319618,103,6.989841
29.632059,96,7.067882
23.889009,82,7.135726
20.619915,70,7.19319
17.679784,64,7.431107
35.347758,114,7.524351
30.854546,102,7.608059
33.048811,107,7.696329
34.79475,112,7.785407
24.176812,109,7.873216
24.783662,78,7.936455
24.476468,97,8.015895
35.253715,109,8.105395
26.627681,83,8.173559
40.579809,155,8.473758
33.712009,102,8.558084
31.025132,101,8.640802
23.243131,79,8.705536
19.324642,65,8.759203
25.819223,91,8.832568
18.443542,66,8.885165
29.513986,82,8.949902
23.779571,93,9.023318
40.778031,140,9.134599
31.171186,101,9.214105
26.585207,78,9.412455
20.513067,75,9.472933
28.079638,93,9.547468
31.53129,90,9.619693
31.804988,86,9.689383
27.945905,100,9.768294
30.136225,89,9.839727
22.762924,77,9.899979
42.188155,148,13.215486
41.479711,135,13.333771
33.299057,91,13.40781
25.31106,81,13.626496
27.051882,84,13.693823
23.757509,80,13.762051
27.620434,84,13.836784
31.605702,100,13.926376
29.046028,103,14.018681
43.843719,129,14.132642
32.266942,98,14.220938
27.677573,83,14.295589
21.926247,85,14.370715
35.204419,118,14.62139
53.355947,160,14.749873
24.771658,72,14.807208
28.942437,81,14.872705
26.280566,92,14.946139
24.546052,86,15.015513
29.36204,100,15.095242
35.83317,113,15.187386
26.462528,76,15.247617
36.711837,119,15.343639
42.601495,169,15.616413
38.053188,131,15.722257
25.412668,87,15.79434
27.664877,82,15.86241
29.162274,90,15.936821
24.053157,90,16.01056
29.845938,97,16.089404
34.432037,117,16.185272
38.890771,125,16.286123
31.312119,114,16.377714
34.478307,108,16.605936
25.122109,79,16.668443
33.981242,111,16.758292
20.189072,84,16.826756
37.802659,132,16.932767
30.139622,93,17.008209
28.23221,99,17.089195
27.241816,95,17.166699
21.468306,80,17.231621
21.53353,76,17.293885
31.789414,113,17.523841
31.307142,92,17.598792
25.860869,80,17.663944
28.585094,82,17.730378
25.813842,107,17.817181
39.291862,124,17.918688
30.657112,86,17.988791
32.805072,111,18.07927
31.686229,90,18.153052
30.848157,100,18.234449
27.771028,93,18.311414
21.687083,66,18.50395
35.851109,146,18.624179
32.678308,107,18.711743
27.864025,87,18.782605
27.939947,122,18.883364
27.720308,86,18.953889
28.109742,102,19.036874
19.554262,114,19.129646
31.027359,113,19.220119
24.132331,72,19.278433
34.846789,107,19.501062
32.978082,109,19.586478
30.924543,105,19.670501
19.544191,67,19.724097
27.222907,97,19.80326
23.373506,114,19.894835
30.892004,106,19.97955
29.578957,94,20.054741
27.101687,83,20.122193
40.348425,117,20.216454
26.594358,90,20.434899
28.875854,85,20.504496
36.736279,125,20.605817
31.708804,114,20.697868
35.024965,121,20.795131
27.444865,80,20.859811
49.554121,172,21.000715
25.895417,102,21.082743
25.686102,89,21.154608
30.046293,101,21.236441
39.182399,128,21.477139
42.476578,123,21.576651
28.368695,96,21.654723
20.580752,70,21.712253
26.160696,76,21.773558
37.398059,118,21.869761
36.389746,111,21.958938
36.461492,119,22.054601
27.797812,90,22.128746
34.114338,101,22.21056
20.530442,77,22.427421
28.446526,89,22.501478
30.058028,95,22.579737
51.461726,184,22.731787
19.824498,73,22.793754
32.435626,101,26.160909
40.636826,111,26.258191
30.469053,99,26.342019
26.712813,77,26.404608
31.462661,121,26.50444
40.42641,120,26.775854
31.447433,95,26.861925
26.876558,101,26.950753
58.560173,186,27.118347
30.363938,98,27.203492
36.647349,123,27.312767
23.922907,91,27.393498
25.393602,109,27.483014
33.38696,94,27.558532
22.166452,89,27.76774
26.016539,84,27.834967
37.384287,156,27.961735
37.830704,108,28.049187
37.474724,131,28.155523
32.086304,93,28.230064
16.247555,120,28.327821
40.611011,161,28.458034
24.299758,82,28.523762
39.978383,123,28.760327
32.140354,92,28.834469
22.890489,79,28.897843
43.501626,157,29.023226
20.767873,76,29.084129
40.374312,124,29.183995
27.073759,97,29.261625
43.281407,157,29.388499
25.226049,78,29.45071
28.16802,108,29.676254
30.767307,92,29.749953
33.899932,103,29.832416
27.794847,89,29.902207
25.151821,79,29.96542
42.844425,124,30.066387
30.62981,129,30.171393
26.572798,80,30.23504
26.403045,95,30.310883
29.707673,100,30.390773
35.045883,118,30.623091
28.593676,114,30.714956
31.862774,91,30.7888
30.68796,92,30.86447
27.088154,82,30.930512
26.774486,81,30.997773
36.456051,103,31.081833
26.638117,85,31.151628
34.624545,91,31.225509
24.175123,81,31.292096
32.535442,102,31.374858
31.401963,112,31.604792
21.675765,67,31.659987
37.515978,135,31.769558
32.653537,99,31.850435
54.831947,195,32.009364
34.500939,109,32.098709
42.565247,140,32.210934
26.86623,89,32.28309
33.486199,99,32.364444
19.120783,73,32.562071
36.686683,118,32.658101
24.011903,78,32.720788
58.024023,177,32.863324
46.722635,151,32.987128
33.385245,104,33.071281
44.381408,129,33.175905
20.233725,75,33.23653
38.03933,122,33.337148
23.688033,72,33.535627
41.438399,119,33.633936
37.652454,130,33.742371
32.018765,89,33.816343
32.094592,105,33.902313
32.987716,98,33.980617
25.971698,78,34.043196
42.823405,129,34.146339
37.252777,134,34.253366
36.851691,129,34.491162
31.3712,102,34.573506
31.723999,88,34.644463
59.191966,186,34.79477
34.441885,111,34.8831
34.91012,109,34.969979
29.565849,90,35.043241
35.742151,122,35.143055
30.634655,99,35.225839
36.88037,138,35.477327
38.585998,124,35.57723
28.267686,85,35.646089
29.599012,111,38.968821
32.994172,101,39.054494
27.91464,76,39.116936
29.37863,108,39.203171
30.775308,96,39.280759
24.460845,73,39.338586
37.4442,122,39.437858
26.9499,83,39.510004
24.104279,79,39.73798
35.625555,106,39.832356
32.264572,120,39.938171
26.39604,112,40.03685
32.79415,100,40.125156
25.529395,76,40.191922
33.814837,118,40.289601
27.336829,88,40.359957
49.852243,169,40.496567
42.167549,150,40.753157
32.565708,111,40.841237
26.550052,100,40.921775
29.237398,95,40.998491
32.263097,100,41.078166
27.66877,87,41.149585
41.913392,166,41.285104
36.231767,123,41.383715
39.839016,113,41.474716
31.406209,99,41.693242
29.914823,102,41.775738
27.116266,77,41.838072
39.732039,124,41.93786
30.790604,97,42.016418
21.194518,96,42.095642
23.207273,77,42.157105
32.921511,103,42.241292
26.82894,115,42.334872
34.923345,121,42.434555
31.360449,93,42.651128
41.349016,121,42.751291
36.728209,125,42.86559
34.132046,108,42.953069
33.087862,122,43.051168
23.802762,78,43.113206
32.560482,147,43.229512
39.984513,134,43.336807
35.579829,131,43.441769
16.063659,88,43.647267
30.800829,94,43.722654
30.788077,89,43.793232
38.916581,122,43.890392
34.570759,98,43.968581
35.478965,128,44.070501
41.746518,128,44.172568
22.923566,69,44.22791
28.053045,87,44.296553
29.000367,88,44.367535
36.240534,111,44.593596
32.798444,99,44.672935
33.491272,112,44.762271
51.758435,173,44.900294
31.729712,91,44.972674
28.28176,107,45.058736
37.830352,141,45.170848
25.211706,89,45.242038
27.244063,104,45.326368
37.151105,105,45.550588
26.693722,80,45.614365
24.268584,148,45.732927
26.620051,97,45.811048
36.150481,116,45.903649
25.326178,101,45.985677
25.865556,88,46.057938
62.468181,202,46.220978
33.075935,97,46.298828
45.932414,176,46.580456
29.462629,116,46.673286
29.774297,92,46.747959
32.899835,106,46.832857
23.917731,95,46.910775
43.904904,125,47.010899
24.251391,87,47.080411
32.842167,101,47.161475
33.352305,88,47.232095
32.320692,112,47.459716
23.160806,118,47.553136
40.333142,136,47.663039
21.732043,71,47.720017
40.439409,139,47.831957
29.068937,86,47.900768
23.876322,79,47.963743
25.922549,77,48.024757
44.920722,145,48.140353
24.833089,95,48.216515
19.963796,87,48.423315
28.190593,86,51.72639
23.852812,127,51.832901
30.007805,107,51.921461
27.033206,100,52.003999
27.541074,100,52.086379
30.971642,92,52.165014
38.802025,127,52.279102
47.499409,144,52.409293
30.704644,91,52.490968
38.78081,127,52.768795
26.682313,160,52.910777
42.477997,117,53.012377
26.738886,89,53.083132
32.828719,95,53.159437
27.327775,82,53.225569
45.325161,159,53.353128
28.705901,78,53.416493
28.828487,88,53.48841
33.277202,100,53.705981
40.757923,118,53.802515
21.180748,66,53.855522
42.92551,156,53.981842
27.547405,84,54.049888
33.377629,110,54.138263
28.195636,113,54.229208
29.607692,95,54.305742
29.688031,82,54.371627
33.206594,95,54.447334
21.289691,66,54.636737
38.177666,97,54.713151
24.605003,80,54.776494
33.703135,105,54.860659
36.564603,114,54.95193
28.861211,84,55.01891
25.352746,85,55.086351
27.64124,89,55.158566
31.627298,105,55.243472
28.927071,97,55.320384
22.022331,75,55.381893
36.15772,120,55.613514
32.753577,126,55.715278
32.71594,110,55.803221
46.203788,136,55.913079
29.582179,115,56.004975
25.349194,83,56.071745
47.108914,165,56.204663
32.733821,105,56.288194
38.587956,116,56.382386
33.871316,102,56.602396
50.791217,178,56.746245
39.32071,125,56.848515
32.356366,119,56.945385
29.927509,92,57.021281
35.015364,113,57.114173
48.949076,148,57.233948
32.684874,119,57.331622
23.854578,88,57.539703
32.441092,97,57.616884
35.272928,95,57.69577
27.936756,86,57.765331
37.470234,132,57.875236
38.562665,145,57.997167
33.217435,99,58.077526
35.400408,109,58.166857
30.083353,98,58.246907
27.045593,86,58.318711
38.036419,138,58.563538
30.444033,93,58.637712
33.591963,95,58.713968
35.547558,123,58.811444
34.887878,113,58.902651
41.195822,137,59.012532
40.150295,129,59.115239
18.778532,63,59.165032
26.736006,81,59.229099
27.693088,78,59.291641
22.503703,75,59.487984
35.182251,124,59.587736
39.548069,146,59.714035
23.716977,87,59.783371
34.988515,110,59.871817
16.556468,69,59.927457
22.396055,102,60.010698
23.437309,87,60.081024
24.387532,79,60.145259
26.769687,89,60.216377
28.272725,118,60.449469
22.199933,70,60.505477
27.542215,89,60.577264
24.41913,86,60.64701
27.756058,89,60.718493
40.695226,124,60.818268
34.168458,116,60.911714
30.736484,107,60.998697
33.535145,100,61.078785
21.464254,88,64.35908
42.566142,140,64.609586
36.933832,108,64.695864
44.157598,129,64.799639
28.772628,91,64.877749
26.048389,83,64.950719
29.680834,105,65.044304
31.697021,96,65.127248
32.448888,104,65.218719
32.419569,101,65.307794
30.825026,95,65.389952
25.285903,101,65.638384
36.185315,118,65.734503
41.274869,141,65.84925
53.979718,186,65.99802
34.170885,91,66.071027
42.747733,145,66.188203
40.656608,137,66.298604
32.951437,114,66.391477
23.378797,79,66.592933
26.897647,83,66.659045
27.938036,84,66.726102
27.844005,90,66.798763
20.103186,95,66.875287
27.091306,90,66.947577
19.355034,102,67.03033
27.949451,93,67.10548
41.396745,133,67.21302
38.024826,126,67.315084
39.239302,104,67.400085
31.718926,94,67.613869
27.076067,119,67.712
31.054012,107,67.798676
28.071846,119,67.896138
29.42879,85,67.965023
35.388441,116,68.060203
25.667308,77,68.124096
27.345097,97,68.20344
37.523397,150,68.324371
27.787396,97,68.538122
25.509847,81,68.60279
24.079465,70,68.658777
30.36921,106,68.743242
30.804553,111,68.832048
33.456397,130,68.936417
28.045206,105,69.019419
37.25159,116,69.11169
26.329857,106,69.195883
36.573648,105,69.279648
