#{"t_start": 1779750426.2970273, "env_id": "Atom-v1"}
r,l,t
29.809215,915,4.417166
103.914086,227,5.070788
99.237988,130,5.18728
67.220248,1000,6.384216
100.738721,163,6.532075
144.692883,134,6.648709
84.018952,123,6.757521
-99.697302,135,6.878064
40.402657,1000,8.077706
141.246039,160,8.219942
73.444734,792,9.234177
65.756423,236,13.377988
91.392633,205,13.817594
162.792727,172,13.974183
99.013677,197,14.146329
154.544422,122,14.251738
109.688746,680,15.329983
133.421202,228,15.532905
84.7707,1000,16.736583
96.845933,214,16.936106
7.638261,1000,18.138784
-45.682322,1000,19.338663
153.248377,229,22.816344
-7.354831,164,22.959069
74.49834,158,23.44789
116.279489,155,23.581727
-66.927596,102,23.670384
64.2091,1000,24.944161
112.009397,168,25.094423
26.123423,145,25.221182
128.4342,149,25.351091
118.645276,117,25.453418
149.742571,138,25.890992
138.003559,224,26.097031
77.945654,101,26.187629
22.938848,177,26.340182
116.447558,160,26.478706
84.642777,103,26.567753
-107.405459,142,26.692451
-191.685586,174,27.16063
57.328357,1000,28.396398
71.381921,1000,31.498484
123.820049,305,31.781367
120.07657,1000,32.986944
22.305443,1000,34.232311
85.827905,100,34.324816
-98.806284,115,34.423948
174.094706,146,34.550146
81.032096,1000,35.785825
13.498323,1000,37.513955
51.398942,125,37.627481
151.970473,142,37.752291
86.952488,208,38.286168
-42.903868,134,38.407147
181.499289,150,38.535597
14.381755,131,38.652357
169.194771,131,38.767192
64.185489,200,38.955627
131.781701,136,39.076451
-122.032602,117,39.480341
111.467106,107,39.572695
-91.061473,103,39.66155
-36.581456,91,39.740282
-64.168037,118,39.84292
57.067152,218,40.038417
101.74368,1000,41.275712
124.54856,112,41.378969
117.847256,907,42.532618
78.653245,143,42.658177
95.798662,208,43.149114
77.047344,206,43.334868
95.236485,1000,45.089637
162.948353,310,45.380753
9.307379,162,45.522191
118.327371,206,45.709256
67.125693,230,46.230621
47.276938,442,46.644696
34.15235,1000,47.896188
27.566356,1000,49.151443
106.552188,125,49.277952
69.512412,904,50.929966
117.834677,227,51.133099
112.851384,1000,52.332219
142.815446,127,52.44768
115.462624,216,52.640283
18.02549,1000,53.94571
85.532798,1000,55.224064
161.680965,119,55.663834
77.597378,445,56.085774
121.218052,184,56.247719
172.666375,138,56.368602
152.732063,132,56.483931
92.137778,110,56.890711
41.102081,1000,58.665974
-128.055115,129,58.785132
67.01405,112,58.884758
67.001124,1000,60.142669
144.326963,154,60.280446
63.265066,130,60.392129
106.246866,220,60.590925
105.929521,206,60.77533
9.415178,1000,61.978718
0.734231,1000,63.185385
81.800436,106,63.284787
117.120018,554,68.065941
92.173425,200,68.244955
52.69896,108,68.346828
131.413439,128,68.458021
101.603777,131,68.875188
82.713156,184,69.039655
104.974209,120,69.143435
162.565292,137,69.271152
76.93198,107,69.366157
126.244891,206,69.552314
157.829204,128,69.669865
65.655499,1000,70.906582
45.478508,123,71.302429
119.274435,453,71.723644
116.814761,109,71.819896
157.952712,1000,73.015948
106.30515,657,75.45269
132.452576,193,75.624098
83.376436,103,75.715819
93.375559,94,75.801587
179.784446,1000,77.029188
163.515256,132,77.148805
116.054929,100,77.235969
95.591584,1000,78.545142
79.865449,1000,79.824544
81.146558,137,79.949876
72.710099,430,80.650948
165.428323,236,80.863622
40.64648,1000,86.053636
-29.815547,1000,87.30066
143.166346,1000,88.567583
138.798149,120,88.678311
130.844787,1000,89.980557
98.523662,121,90.09347
134.748899,911,91.276178
97.710561,719,95.549452
23.946516,1000,96.749762
144.098361,139,96.877356
69.757289,1000,98.085896
178.062925,447,98.509628
21.660721,1000,99.787633
101.258372,117,99.89637
126.870525,208,100.517803
142.92386,1000,105.718719
174.213451,158,105.861655
89.856741,112,105.960442
121.969246,104,106.052273
125.872984,208,106.239055
100.703317,111,106.34143
94.524515,1000,107.588654
144.341213,116,107.69635
72.603504,1000,108.962572
135.31242,840,110.080131
54.240536,192,110.267075
180.963261,798,111.796837
114.347924,1000,113.031423
88.22436,220,113.236552
103.370338,1000,114.451037
85.426177,1000,115.703525
63.864509,1000,116.950066
111.916382,123,117.062042
121.832333,797,120.022333
79.279439,205,120.206045
43.393923,1000,121.483959
165.811387,210,121.68265
127.899446,229,122.279271
66.181113,1000,123.555618
55.008713,132,123.675888
140.830794,207,123.865566
49.131647,1000,125.102674
67.965517,216,125.3035
124.889778,1000,127.701318
101.979864,86,127.782817
125.943114,195,127.960199
116.121739,1000,129.197201
116.686889,226,129.708247
140.09646,775,130.430571
80.369677,1000,131.719156
92.638515,107,131.819537
89.329531,564,132.72168
120.226707,92,132.806043
88.097144,1000,138.003268
161.284171,201,138.191931
131.429394,1000,139.504667
156.756095,190,139.683988
133.428268,96,140.104852
146.112741,338,140.415565
123.791182,92,140.496231
117.057401,216,140.696039
124.506022,227,140.904921
44.789472,1000,142.251006
133.45021,119,142.688783
110.503626,202,142.869436
39.767196,1000,145.188617
125.74704,92,145.274135
173.709008,242,145.494408
101.026872,777,146.567089
127.123731,1000,147.822572
94.860263,232,148.038195
162.983961,230,148.247961
159.151452,1000,149.472207
127.343835,197,149.65605
55.527107,925,150.800231
23.997082,1000,153.805951
77.630086,201,153.99399
128.639795,1000,155.260442
139.256876,104,155.661207
153.034514,224,155.871444
139.541485,218,156.066081
86.401931,1000,157.351609
94.879943,1000,158.633701
161.727256,92,158.719664
122.828427,90,158.799671
137.579804,209,159.337822
134.990273,919,160.560043
123.681655,195,160.733771
110.705569,137,161.189087
119.587987,196,161.364914
153.242605,223,161.565729
145.424464,198,161.744872
68.093701,1000,162.963826
114.969349,79,163.036664
123.213188,110,163.132729
96.260884,191,163.304666
129.857695,895,164.399849
129.001177,225,164.871028
156.002463,201,165.04933
145.043273,680,166.185735
133.139897,101,166.534483
134.310229,791,167.276264
154.420358,555,168.062251
143.875317,92,168.143501
129.87016,104,168.234714
133.463963,684,169.138861
135.251784,197,169.313137
171.57011,797,170.420146
136.105346,204,170.604762
118.923059,110,170.704006
74.586084,562,171.536597
133.529656,148,171.663264
144.217013,807,173.248279
114.481431,1000,174.525062
137.678601,226,175.111081
155.065151,110,175.206984
154.002413,1000,176.444693
129.707034,1000,177.731004
175.636244,102,177.82702
145.273955,1000,179.053977
101.986137,112,179.156571
113.888099,190,179.801348
49.872743,1000,180.994833
117.723766,202,181.179669
108.300141,74,181.250375
124.585761,120,181.356924
120.864626,124,181.722177
115.749307,117,181.825436
129.288883,449,182.247946
110.279778,102,182.337779
18.493287,86,182.41338
81.640468,123,182.521928
118.793205,231,182.992595
107.644703,123,183.102304
137.990416,90,183.183222
124.982763,201,183.36113
166.081842,207,183.547761
149.590533,903,184.657665
124.372191,148,184.786737
69.631187,83,184.858782
155.226217,96,184.944324
135.921242,76,185.342219
101.163376,140,185.463425
121.229455,75,185.529464
138.247933,112,186.081002
155.56467,681,187.107058
145.223799,1000,188.043699
105.473047,1000,189.315582
157.104975,114,189.740661
149.29573,98,189.827537
107.56654,675,190.449507
160.632529,211,190.942009
155.719539,102,191.037562
156.828024,108,191.132141
151.607395,1000,192.863446
144.263974,79,192.938002
109.542957,94,193.019116
121.780991,85,193.092723
177.578239,789,194.165288
106.595035,203,194.347228
121.584989,78,194.419938
124.886195,116,194.522071
137.344601,108,194.618761
108.280272,375,195.376018
139.373438,913,196.265687
148.498262,203,196.707276
112.60763,96,196.795778
117.789357,125,196.904369
190.666819,229,197.114422
119.445194,116,197.216258
148.398298,94,197.300047
114.402263,1000,198.508358
135.869379,1000,200.169375
116.970417,185,200.339476
126.256072,122,200.816067
154.903816,195,200.992281
168.15255,108,201.086019
204.543413,133,201.202963
120.944082,73,201.266999
111.400276,340,201.574524
117.821688,206,202.039346
146.029027,103,202.134589
162.863428,112,202.23299
132.553095,203,202.418677
177.192569,917,203.537634
175.077702,437,203.951389
146.505478,127,204.065157
127.936809,419,204.71225
134.431032,227,204.925174
144.543034,916,206.45804
138.55643,221,206.659261
165.91965,1000,207.864907
120.124075,915,208.993667
95.980414,1000,210.333862
120.556237,240,210.557343
136.995931,312,211.212548
135.465494,119,211.318051
97.178491,199,211.494043
126.037709,113,211.592142
126.520809,121,211.699355
140.437436,184,211.861542
128.477696,1000,213.557247
139.262391,1000,214.864537
122.753905,92,214.95078
135.194782,555,215.771779
137.13592,206,215.960678
167.427657,115,216.067836
128.140055,95,216.152917
115.158065,188,216.319439
172.437936,94,216.69802
141.881474,426,217.092835
123.209652,85,217.169717
151.88291,95,217.255317
146.348783,87,217.330739
165.687673,169,217.47877
172.660466,93,217.837122
140.818272,790,218.946408
118.139341,100,219.040648
129.803166,195,219.483344
120.858606,98,219.568136
132.248886,91,219.650723
139.023337,117,219.753653
130.25896,78,219.824178
122.740357,208,220.008444
121.678915,107,220.105191
144.107323,104,220.198079
108.01487,77,220.265703
150.810356,101,220.615508
137.749328,550,221.127326
134.550328,1000,222.331211
128.612298,776,223.327013
132.980071,116,223.429269
146.694293,1000,224.651913
126.602442,90,224.738085
119.350309,79,224.808063
181.167442,1000,226.397591
140.514346,669,227.292731
134.411742,112,227.391261
129.935503,76,227.457313
137.036847,87,227.533188
149.984761,191,227.704394
-66.276326,119,227.808847
205.460054,208,227.996348
146.605604,130,228.375842
140.738624,131,228.49047
136.578424,305,228.778584
112.925073,73,228.842318
128.929913,120,228.947124
25.169254,116,229.048922
117.228946,189,229.219578
165.320691,209,229.6882
161.94071,99,229.780912
146.397057,103,229.872051
173.803092,145,230.000112
167.602445,98,230.087336
138.300144,110,230.186327
158.277104,127,230.298985
173.558854,326,230.8659
153.995989,84,230.941276
128.976748,242,231.48672
92.532363,672,232.383515
125.918232,113,232.483727
139.031026,214,232.678303
194.206248,433,233.089102
143.914458,90,233.169416
147.387853,176,233.610439
122.784751,131,233.728783
110.505173,88,233.806994
162.013815,1000,235.090284
158.76581,98,235.183416
167.54637,117,235.28694
144.138501,111,235.384688
174.967032,101,235.474946
144.50329,457,236.25032
152.021231,91,236.331796
132.331509,797,237.349613
168.160469,660,238.355459
190.638262,555,239.163007
188.209846,907,240.330286
158.618772,201,240.508378
128.438225,117,240.617367
98.715949,195,240.793633
162.132954,114,240.896319
147.624975,334,241.508126
134.937596,117,241.613049
145.25598,87,241.711262
175.839412,194,241.886625
147.128532,195,242.063648
156.340788,95,242.149852
134.421752,93,242.232543
165.567934,659,243.110091
143.785593,105,243.204723
108.270476,1000,244.777944
166.478593,210,244.975064
156.240646,218,245.180328
152.236527,99,245.5262
164.111241,658,246.146307
110.49733,76,246.214572
212.930791,205,246.652602
164.494684,114,246.75898
174.718393,1000,247.961045
107.122428,687,248.614018
148.181577,95,248.698836
192.532869,1000,249.897268
160.843942,684,251.181547
126.358366,90,251.261178
160.444312,111,251.357676
125.777515,114,251.458661
81.590825,1000,252.660023
130.633673,108,252.759638
159.209686,1000,253.956136
139.468952,115,254.063698
147.153089,92,254.514515
160.105516,89,254.592813
155.742082,108,254.689881
131.73413,134,254.811682
148.63331,196,254.991323
106.373852,105,255.084092
123.12133,78,255.155149
158.517665,207,255.349559
128.001238,327,255.927767
133.117638,98,256.014332
132.400548,311,256.298318
105.755079,75,256.364137
123.93273,1000,257.915791
152.595764,445,258.608561
121.415926,75,258.675119
165.272221,93,258.759176
166.981089,232,258.969184
150.56351,109,259.064585
135.692551,119,259.169576
158.788914,111,259.268743
122.49696,73,259.332418
119.505562,84,259.671677
99.65383,194,259.846212
150.339146,198,260.028273
138.759277,105,260.12191
116.155788,97,260.207876
